"","geoid","value","year","measure","moe"
"110","51710005800",3,2017,"access_care_indicator",NA
"111","51199050207",4,2017,"access_care_indicator",NA
"112","51760020700",4,2017,"access_care_indicator",NA
"113","51710001600",3,2017,"access_care_indicator",NA
"114","51700032126",2.99322806562891,2017,"access_care_indicator",NA
"115","51740211100",3,2017,"access_care_indicator",NA
"116","51550020910",2,2017,"access_care_indicator",NA
"117","51730811300",2.995809589535,2017,"access_care_indicator",NA
"118","51153900203",5,2017,"access_care_indicator",NA
"119","51710004002",3,2017,"access_care_indicator",NA
"120","51550020500",3,2017,"access_care_indicator",NA
"121","51059421500",2,2017,"access_care_indicator",NA
"122","51710006400",3,2017,"access_care_indicator",NA
"123","51510201602",2,2017,"access_care_indicator",NA
"124","51700032123",2,2017,"access_care_indicator",NA
"125","51153900602",5,2017,"access_care_indicator",NA
"126","51710006501",3,2017,"access_care_indicator",NA
"127","51149850200",2.12571158117601,2017,"access_care_indicator",NA
"128","51650010504",5,2017,"access_care_indicator",NA
"129","51630000400",1,2017,"access_care_indicator",NA
"130","51760040400",4.00936533666098,2017,"access_care_indicator",NA
"131","51003010901",5,2017,"access_care_indicator",NA
"132","51760060200",4,2017,"access_care_indicator",NA
"133","51510200104",3,2017,"access_care_indicator",NA
"134","51730810500",3,2017,"access_care_indicator",NA
"135","51760020501",4,2017,"access_care_indicator",NA
"136","51670820300",3,2017,"access_care_indicator",NA
"137","51041100107",4.99633335776865,2017,"access_care_indicator",NA
"138","51041100806",4,2017,"access_care_indicator",NA
"139","51059451502",3,2017,"access_care_indicator",NA
"140","51740212000",3,2017,"access_care_indicator",NA
"141","51700030900",5,2017,"access_care_indicator",NA
"142","51700031902",2.01012448915207,2017,"access_care_indicator",NA
"143","51660000302",3.99953957184203,2017,"access_care_indicator",NA
"144","51137110200",2,2017,"access_care_indicator",NA
"145","51770002501",3,2017,"access_care_indicator",NA
"146","51087200153",4,2017,"access_care_indicator",NA
"147","51059452700",3,2017,"access_care_indicator",NA
"148","51800065302",3,2017,"access_care_indicator",NA
"149","51650010900",4,2017,"access_care_indicator",NA
"150","51013102002",3,2017,"access_care_indicator",NA
"151","51700032128",4,2017,"access_care_indicator",NA
"152","51059480204",4,2017,"access_care_indicator",NA
"153","51087200417",4,2017,"access_care_indicator",NA
"154","51013101409",3,2017,"access_care_indicator",NA
"155","51059420503",2,2017,"access_care_indicator",NA
"156","51700031701",4,2017,"access_care_indicator",NA
"157","51059452801",3,2017,"access_care_indicator",NA
"158","51550020300",3,2017,"access_care_indicator",NA
"159","51013102003",3,2017,"access_care_indicator",NA
