"","geoid","value","year","measure","moe"
"1","51760030100",18.0038746075323,2015,"affordability_index",NA
"2","51710004800",24.5064902569801,2015,"affordability_index",NA
"3","51760020200",24,2015,"affordability_index",NA
"4","51770002502",37.104482980909,2015,"affordability_index",NA
"5","51710004200",20,2015,"affordability_index",NA
"6","51760030501",35,2015,"affordability_index",NA
"7","51760020100",25.1490510471204,2015,"affordability_index",NA
"8","51710004100",18,2015,"affordability_index",NA
"9","51730810100",34,2015,"affordability_index",NA
"10","51700030100",28,2015,"affordability_index",NA
"11","51740211800",30,2015,"affordability_index",NA
"12","51710003501",33,2015,"affordability_index",NA
"13","51003010904",37.0329628880431,2015,"affordability_index",NA
"14","51013101704",36,2015,"affordability_index",NA
"15","51013101408",38.211148457268,2015,"affordability_index",NA
"16","51760020400",22.9318863494476,2015,"affordability_index",NA
"17","51740210500",32,2015,"affordability_index",NA
"18","51059451400",28,2015,"affordability_index",NA
"19","51760040300",42,2015,"affordability_index",NA
"20","51013102701",29,2015,"affordability_index",NA
"21","51760060800",38.0441811229072,2015,"affordability_index",NA
"22","51590000400",47.0304485281581,2015,"affordability_index",NA
"23","51730810600",33,2015,"affordability_index",NA
"24","51059451601",32,2015,"affordability_index",NA
"25","51730810700",32.0031012035469,2015,"affordability_index",NA
"26","51760010300",34,2015,"affordability_index",NA
"27","51510201206",31,2015,"affordability_index",NA
"28","51013103505",34,2015,"affordability_index",NA
"29","51700030600",37,2015,"affordability_index",NA
"30","51013103503",35,2015,"affordability_index",NA
"31","51760021000",34.005818065524,2015,"affordability_index",NA
"32","51710005100",37,2015,"affordability_index",NA
"33","51650011400",39,2015,"affordability_index",NA
"34","51087200805",34,2015,"affordability_index",NA
"35","51013103602",33.0408199470079,2015,"affordability_index",NA
"36","51700030800",38.022126394687,2015,"affordability_index",NA
"37","51760060900",39,2015,"affordability_index",NA
"38","51590000500",42,2015,"affordability_index",NA
"39","51013101603",38,2015,"affordability_index",NA
"40","51760070601",34,2015,"affordability_index",NA
"41","51700030400",35,2015,"affordability_index",NA
"42","51105950301",66,2015,"affordability_index",NA
"43","51740212100",30,2015,"affordability_index",NA
"44","51059461902",31.0232283096087,2015,"affordability_index",NA
"45","51800065500",42,2015,"affordability_index",NA
"46","51710000902",46.9989958847727,2015,"affordability_index",NA
"47","51760060700",35,2015,"affordability_index",NA
"48","51710002900",39.0293734670453,2015,"affordability_index",NA
"49","51800065100",42.0246279219876,2015,"affordability_index",NA
"50","51710001300",37,2015,"affordability_index",NA
"51","51710002700",41.995529499165,2015,"affordability_index",NA
"52","51680001100",47,2015,"affordability_index",NA
"53","51680000600",35,2015,"affordability_index",NA
"54","51710004300",33.2129439690789,2015,"affordability_index",NA
"55","51041100406",35,2015,"affordability_index",NA
"56","51590001000",49,2015,"affordability_index",NA
"57","51710005701",38,2015,"affordability_index",NA
"58","51041100404",34.5604841763207,2015,"affordability_index",NA
"59","51770001000",38,2015,"affordability_index",NA
"60","51510201205",31,2015,"affordability_index",NA
"61","51595890100",66.9972611449252,2015,"affordability_index",NA
"62","51550020100",39.3011342174308,2015,"affordability_index",NA
"63","51013101804",37.0042470232461,2015,"affordability_index",NA
"64","51710002500",42,2015,"affordability_index",NA
"65","51620090200",63,2015,"affordability_index",NA
"66","51510200102",34,2015,"affordability_index",NA
"67","51121020301",53,2015,"affordability_index",NA
"68","51770002600",41,2015,"affordability_index",NA
"69","51013102001",30,2015,"affordability_index",NA
"70","51510200304",30.967189321954,2015,"affordability_index",NA
"71","51760030200",34,2015,"affordability_index",NA
