"","geoid","value","year","measure","moe"
"1","51760030100",13,2021,"affordability_index",NA
"2","51710004800",11,2021,"affordability_index",NA
"3","51760020200",10,2021,"affordability_index",NA
"4","51770002502",33,2021,"affordability_index",NA
"5","51710004200",15,2021,"affordability_index",NA
"6","51760030501",27,2021,"affordability_index",NA
"7","51760020100",22,2021,"affordability_index",NA
"8","51710004100",15,2021,"affordability_index",NA
"9","51730810100",34,2021,"affordability_index",NA
"10","51700030100",23,2021,"affordability_index",NA
"11","51740211800",27,2021,"affordability_index",NA
"12","51710003501",31,2021,"affordability_index",NA
"13","51003010904",30,2021,"affordability_index",NA
"14","51013101704",22,2021,"affordability_index",NA
"15","51013101408",33,2021,"affordability_index",NA
"16","51760020400",9,2021,"affordability_index",NA
"17","51740210500",31,2021,"affordability_index",NA
"18","51059451400",19,2021,"affordability_index",NA
"19","51760040300",37,2021,"affordability_index",NA
"20","51013102701",22,2021,"affordability_index",NA
"21","51760060800",30,2021,"affordability_index",NA
"22","51590000400",43,2021,"affordability_index",NA
"23","51730810600",26,2021,"affordability_index",NA
"24","51059451601",30,2021,"affordability_index",NA
"25","51730810700",30,2021,"affordability_index",NA
"26","51760010300",27,2021,"affordability_index",NA
"27","51510201206",24,2021,"affordability_index",NA
"28","51013103505",27,2021,"affordability_index",NA
"29","51700030600",29,2021,"affordability_index",NA
"30","51013103503",29,2021,"affordability_index",NA
"31","51760021000",21,2021,"affordability_index",NA
"32","51710005100",26,2021,"affordability_index",NA
"33","51650011400",29,2021,"affordability_index",NA
"34","51087200805",25,2021,"affordability_index",NA
"35","51013103602",28,2021,"affordability_index",NA
"36","51700030800",35,2021,"affordability_index",NA
"37","51760060900",31,2021,"affordability_index",NA
"38","51590000500",37,2021,"affordability_index",NA
"39","51013101603",31,2021,"affordability_index",NA
"40","51760070601",34,2021,"affordability_index",NA
"41","51700030400",35,2021,"affordability_index",NA
"42","51105950301",54,2021,"affordability_index",NA
"43","51740212100",25,2021,"affordability_index",NA
"44","51059461902",30,2021,"affordability_index",NA
"45","51800065500",34,2021,"affordability_index",NA
"46","51710000902",52,2021,"affordability_index",NA
"47","51760060700",34,2021,"affordability_index",NA
"48","51710002900",36,2021,"affordability_index",NA
"49","51800065100",36,2021,"affordability_index",NA
"50","51710001300",33,2021,"affordability_index",NA
"51","51710002700",36,2021,"affordability_index",NA
"52","51680001100",36,2021,"affordability_index",NA
"53","51680000600",39,2021,"affordability_index",NA
"54","51710004300",28,2021,"affordability_index",NA
"55","51041100406",29,2021,"affordability_index",NA
"56","51590001000",41,2021,"affordability_index",NA
"57","51710005701",32,2021,"affordability_index",NA
"58","51041100404",36,2021,"affordability_index",NA
"59","51770001000",37,2021,"affordability_index",NA
"60","51510201205",27,2021,"affordability_index",NA
"61","51595890100",74,2021,"affordability_index",NA
"62","51550020100",35,2021,"affordability_index",NA
"63","51013101804",28,2021,"affordability_index",NA
"64","51710002500",38,2021,"affordability_index",NA
"65","51620090200",30,2021,"affordability_index",NA
"66","51510200102",28,2021,"affordability_index",NA
"67","51121020301",41,2021,"affordability_index",NA
"68","51770002600",29,2021,"affordability_index",NA
"69","51013102001",39,2021,"affordability_index",NA
"70","51510200304",24,2021,"affordability_index",NA
"71","51760030200",24,2021,"affordability_index",NA
"72","51680000400",40,2021,"affordability_index",NA
"73","51510200106",33,2021,"affordability_index",NA
"74","51013101705",35,2021,"affordability_index",NA
