long,lat
-76.73775043228,38.2439283103911
-76.707241631219,38.3265942886351
-76.6766074898529,38.4094001162481
-76.6458472378169,38.4923457884555
-76.6149600981732,38.5754312984494
-76.5839452873414,38.658656637373
-76.5528020150281,38.7420217943033
-76.5215294841558,38.8255267562347
-76.4901268907904,38.9091715080623
-76.4585934240684,38.9929560325646
-76.4269282661233,39.0768803103865
-76.3951305920098,39.1609443200225
-76.3631995696288,39.2451480377985
-76.3311343596504,39.3294914378553
-76.2989341154358,39.4139744921303
-76.2665979829591,39.49859717034
-76.84254381234,38.2678184781162
-76.8123332547461,38.3505549997442
-76.7819984639762,38.4334316499188
-76.7515386753954,38.5164484255245
-76.7209531178335,38.5996053214267
-76.6902410135159,38.6829023304553
-76.6594015779935,38.7663394433878
-76.6284340200717,38.8499166489333
-76.5973375417384,38.9336339337155
-76.5661113380912,39.017491282256
-76.534754597264,39.1014886769572
-76.5032665003519,39.1856260980853
-76.4716462213362,39.2699035237532
-76.4398929270074,39.3543209299031
-76.408005776888,39.4388782902889
-76.3759839231539,39.5235755764591
-76.9474606663412,38.2914658090834
-76.9175491103713,38.3742722023986
-76.8875144348213,38.4572190011878
-76.8573558808542,38.5403062039855
-76.827072683137,38.6235338073202
-76.7966640697709,38.7069018056988
-76.7661292622221,38.7904101915897
-76.7354674752508,38.8740589554066
-76.7046779168396,38.9578480854921
-76.673759788121,39.0417775681007
-76.6427122833038,39.1258473873825
-76.6115345895993,39.2100575253656
-76.5802258871454,39.2944079619394
-76.5487853489307,39.3788986748378
-76.5172121407173,39.463529639621
-76.4855054209624,39.548300829659
-77.0524998864539,38.3148699407825
-77.0228880845054,38.3977455316933
-76.9931542830007,38.4807618027348
-76.9632977289691,38.5639187540813
-76.9333176629835,38.6472163839147
-76.903213319091,38.7306546884088
-76.8729839247437,38.8142336617127
-76.8426287007283,38.897953295935
-76.8121468610944,38.9818135811267
-76.7815376130829,39.0658145052655
-76.7508001570522,39.1499560542385
-76.7199336864046,39.2342382118256
-76.688937387511,39.3186609596826
-76.6578104396354,39.4032242773244
-76.6265520148575,39.4879281421075
-76.595161277995,39.5727725292127
-77.1576603584877,38.3380305138056
-77.128349057131,38.4209746258423
-77.0989168826307,38.5040596903749
-77.0693630879505,38.5872857092072
-77.0396869196377,38.6706526821643
-77.0098876177549,38.7541606070769
-76.9799644158106,38.8378094797645
-76.9499165406892,38.92159929402
-76.9197432125799,39.0055300415929
-76.8894436449047,39.0896017121732
-76.8590170442457,39.1738142933749
-76.8284626102712,39.258167770719
-76.7977795356614,39.3426621276174
-76.7669670060321,39.4272973453552
-76.7360241998587,39.5120734030744
-76.7049502883984,39.5969902777565
-77.2629409619305,38.3609471718702
-77.233930901842,38.4439591262021
-77.2048011013713,38.5271123030827
-77.1755508194837,38.6104067059351
-77.1461793087696,38.6938423362174
-77.1166858153763,38.7774191934063
-77.0870695789388,38.8611372749815
-77.0573298325103,38.9449965764096
-77.0274658024913,39.028997091128
-76.997476708558,39.1131388105285
-76.9673617635898,39.1974217239411
-76.937120173596,39.2818458186175
-76.9067511376411,39.3664110797144
-76.8762538477699,39.4511174902767
-76.8456274889308,39.5359650312209
-76.814871238899,39.6209536813181
-77.3683405699886,38.3836195618429
-77.3396324858841,38.4666986772954
-77.3108058004663,38.5499192830164
-77.2818597787695,38.6332813840381
-77.2527936794955,38.7167849834406
-77.2236067549448,38.8004300823363
-77.1942982509492,38.8842166798541
-77.1648674068012,38.9681447731238
-77.1353134551842,39.0522143572595
-77.1056356221012,39.1364254253442
-77.0758331268023,39.220777968413
-77.0459051817119,39.3052719754371
-77.0158509923545,39.3899074333072
-76.9856697572799,39.4746843268169
-76.955360667987,39.559602638646
-76.9249229088471,39.6446623493439
-77.4738580496271,38.4060473337626
-77.4454526701952,38.4891929268345
-77.4169298347847,38.5724802755416
-77.388288814566,38.6559093865141
-77.3595288744197,38.7394802644434
-77.3306492728687,38.8231929120667
-77.3016492620105,38.9070473301513
-77.2725280874477,38.9910435174789
-77.2432849882178,39.0751814708297
-77.2139191967226,39.1594611849664
-77.1844299386562,39.2438826526182
-77.1548164329322,39.3284458644646
-77.1250778916101,39.4131508091189
-77.0952135198203,39.4979974731121
-77.0652225156893,39.582985840876
-77.0351040702624,39.6681158947269
-77.5794922616116,38.4282301408637
-77.5513903094476,38.5114415257452
-77.523172052863,38.5947949292549
-77.4948367692306,38.6782903596101
-77.4663837296775,38.7619278231024
-77.4378121990172,38.8457073240828
-77.4091214356823,38.9296288649457
-77.3803106916552,39.0136924461137
-77.3513792123987,39.0978980660215
-77.3223262367852,39.1822457211004
-77.2931509970255,39.2667354057622
-77.2638527185961,39.3513671123833
-77.2344306201658,39.4361408312881
-77.2048839135219,39.5210565507334
-77.1752118034945,39.6061142568914
-77.1454134878806,39.6913139338336
-77.6852420605506,38.4501676395991
-77.6574442520908,38.5334441281894
-77.6295312969479,38.6168628960072
-77.6015024787639,38.7004239528455
-77.573357074979,38.784127306585
-77.5450943567655,38.867972963179
-77.5167135889597,38.9519609266378
-77.4882140299938,39.0360911990132
-77.4595949318263,39.1203637803832
-77.4308555398718,39.2047786688358
-77.40199509293,39.2893358604541
-77.3730128231137,39.3740353492993
-77.3439079557756,39.4588771273956
-77.3146797094347,39.5438611847135
-77.2853272957012,39.6289875091538
-77.2558499192008,39.7142560865312
-77.7911062949381,38.4718594896629
-77.7636133403944,38.5552003915888
-77.7360064030406,38.6386838309274
-77.7082847728533,38.7223098190363
-77.6804477336532,38.8060783653737
-77.6524945630386,38.8899894774837
