,property_title,url,address,listing_class,plan_name,bedrooms,bathrooms,unit,price,size_sqft
23,The Point at Reston,https://www.apartments.com/the-point-at-reston-reston-va/je6s9n7/,"1925 Roland Clarke Pl, Reston, VA 20191","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",C4,2,2,429,3296.0,1119.0
24,Faraday Park,https://www.apartments.com/faraday-park-reston-va/4xehkjk/,"11201 Reston Station Blvd, Reston, VA 20190","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",Studio-A2,0,1,231W,1884.0,507.0
25,Faraday Park,https://www.apartments.com/faraday-park-reston-va/4xehkjk/,"11201 Reston Station Blvd, Reston, VA 20190","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",2 Bed/2 Bath-E10,2,2,420W,3267.0,1256.0
26,Faraday Park,https://www.apartments.com/faraday-park-reston-va/4xehkjk/,"11201 Reston Station Blvd, Reston, VA 20190","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",2 Bed/2 Bath-E9,2,2,514W,3088.0,1182.0
27,Faraday Park,https://www.apartments.com/faraday-park-reston-va/4xehkjk/,"11201 Reston Station Blvd, Reston, VA 20190","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",2 Bed/2 Bath-E9,2,2,214W,3093.0,1182.0
28,Faraday Park,https://www.apartments.com/faraday-park-reston-va/4xehkjk/,"11201 Reston Station Blvd, Reston, VA 20190","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",2 Bed/2 Bath-E2.1,2,2,719W,2657.0,1070.0
29,Faraday Park,https://www.apartments.com/faraday-park-reston-va/4xehkjk/,"11201 Reston Station Blvd, Reston, VA 20190","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",2 Bed/2 Bath-E8,2,2,233W,3115.0,1190.0
30,Faraday Park,https://www.apartments.com/faraday-park-reston-va/4xehkjk/,"11201 Reston Station Blvd, Reston, VA 20190","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",3 Bed/2 Bath-G3 East,3,2,405E,3853.0,1288.0
31,Faraday Park,https://www.apartments.com/faraday-park-reston-va/4xehkjk/,"11201 Reston Station Blvd, Reston, VA 20190","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",3 Bed/2 Bath-G3 East,3,2,605E,3863.0,1288.0
32,Faraday Park,https://www.apartments.com/faraday-park-reston-va/4xehkjk/,"11201 Reston Station Blvd, Reston, VA 20190","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",Studio-A2,0,1,231W,1884.0,507.0
33,Faraday Park,https://www.apartments.com/faraday-park-reston-va/4xehkjk/,"11201 Reston Station Blvd, Reston, VA 20190","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",2 Bed/2 Bath-E10,2,2,420W,3267.0,1256.0
34,Faraday Park,https://www.apartments.com/faraday-park-reston-va/4xehkjk/,"11201 Reston Station Blvd, Reston, VA 20190","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",2 Bed/2 Bath-E9,2,2,514W,3088.0,1182.0
35,Faraday Park,https://www.apartments.com/faraday-park-reston-va/4xehkjk/,"11201 Reston Station Blvd, Reston, VA 20190","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",2 Bed/2 Bath-E9,2,2,214W,3093.0,1182.0
36,Faraday Park,https://www.apartments.com/faraday-park-reston-va/4xehkjk/,"11201 Reston Station Blvd, Reston, VA 20190","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",2 Bed/2 Bath-E2.1,2,2,719W,2657.0,1070.0
