"","x"
"1",51.766465601059
"2",60.4100841713876
"3",58.0894721190602
"4",66.1839071124154
"5",55.8894350799538
"6",75.6581146774606
"7",56.2713584959888
"8",60.9310189454492
"9",52.969084368525
"10",67.7762884369983
"11",61.1830564876566
"12",67.877220573445
"13",74.7012175982779
"14",82.5466578222653
"15",89.8883983873687
"16",57.6127654660925
"17",61.6317472360195
"18",68.9576578053264
"19",67.5554197717537
"20",81.3316536650572
"21",65.7721860660446
"22",61.1770387318182
"23",51.9265199198939
"24",63.3797464906884
"25",54.6618037370923
"26",61.3531206941456
"27",73.5084515967252
"28",84.0880803981639
"29",69.9394567100225
"30",82.3475123003803
"31",69.4378849814874
"32",63.5894341172839
"33",55.7960159741118
"34",62.7658024411494
"35",84.3636667170437
"36",64.1753788893136
"37",65.6748138333378
"38",64.5917887982595
"39",79.8916825051073
"40",67.0755699700777
"41",67.2925012376387
"42",64.3388270945963
"43",57.4180207993261
"44",70.1481039230731
"45",62.6330530842812
"46",72.7682733204507
"47",64.0490515843233
"48",72.9050176486147
"49",67.1823016472732
"50",76.8578061427442
"51",70.4791690487076
"52",69.3069430203457
"53",69.0431505270285
"54",66.2820089580399
"55",67.3165832236407
"56",67.381872181417
"57",74.2892935921996
"58",67.1792825784673
"59",74.2113776611912
"60",73.3441835187844
"61",65.0367599608448
"62",69.0380737542744
"63",88.7639927342724
"64",73.8878054508349
"65",59.5040503283214
"66",81.7661920753791
"67",80.0443638262769
"68",67.2020930014138
"69",84.6726012679859
"70",80.8703643148205
"71",72.9215220725953
"72",67.8679649759587
"73",79.7891239428542
"74",86.7519206175509
"75",78.0136296182606
"76",77.5285733809732
"77",78.4619400309379
"78",60.050201070288
"79",70.0588333995585
"80",70.2745823805504
"81",83.7277101875084
"82",78.40540237751
"83",78.7100211111819
"84",69.6503126492542
"85",76.5906806402382
"86",68.1473121182404
"87",61.4453772640999
"88",75.7560719779195
"89",73.0403834485665
"90",50.6491068577328
"91",87.4644016503856
"92",76.2324522633297
"93",71.0418818118113
"94",68.2382300479431
"95",75.5237175931177
"96",78.287037232554
"97",86.4053117139695
"98",80.1340584553074
"99",74.9494266815891
"100",83.2320598859983
"101",71.8720237476856
"102",66.1514243199002
"103",81.8540345381684
"104",80.1326878236973
"105",86.9489397901143
"106",75.9329511466546
"107",77.5242952054298
"108",80.3219736118457
"109",77.932283732474
"110",70.0074146413578
"111",80.3019375184755
"112",71.9403787079922
"113",70.3788760530014
"114",79.9892655249614
"115",67.0691743916971
"116",78.3674412915246
"117",66.1154423722417
"118",74.9178556035963
"119",82.0230489330298
"120",73.3492451064501
"121",76.1928200340451
"122",73.6955967413976
"123",85.8500972636742
"124",75.4593812206422
"125",75.7057542574393
"126",75.6051664368814
"127",73.9355742298048
"128",69.2975339355739
"129",76.2315643699093
"130",73.7767442410472
"131",81.1757721315261
"132",46.4352544279127
"133",76.3985601881458
"134",62.4612655881935
"135",82.7778614850174
"136",68.4702494463912
"137",80.526930159057
"138",76.8583594021083
"139",80.4041973578548
"140",62.7159251003088
"141",71.7284315545225
"142",80.2389872196461
"143",73.4636079081323
"144",70.51486870956
"145",67.4034642391998
"146",77.1306928488212
"147",79.6050657578421
"148",69.9548127003458
"149",74.9081067215308
"150",85.317886190202
"151",79.8218345793931
"152",87.8688410265828
"153",77.5177188844569
"154",87.9941278247126
"155",83.8513250654982
"156",74.8453827810257
"157",80.1451878391483
"158",71.5098835253365
"159",80.3739179654597
"160",68.4678999848868
"161",68.0827227281252
"162",68.0777418051007
"163",84.8302384297074
"164",77.873446522267
"165",72.8877539869075
"166",83.30061613551
"167",76.7801089932932
"168",77.2307042597122
"169",80.2117994234491
"170",67.7373149933156
"171",76.0866064025393
"172",76.9586340514936
"173",78.243048571458
"174",85.2451758611267
"175",78.0025869985772
"176",79.5395727705903
"177",79.9341861951632
"178",72.0831076936261
"179",71.637322283758
"180",78.1851318665202
"181",64.7455348758206
"182",43.4423871582828
"183",81.9722162367924
"184",76.53316749232
