geoid,region_type,region_name,year,measure,value,measure_type
51580,county,"Covington city, Virginia",2015,tot_adr,4253,count
51590,county,"Danville city, Virginia",2015,tot_adr,27565,count
51595,county,"Emporia city, Virginia",2015,tot_adr,4121,count
51600,county,"Fairfax city, Virginia",2015,tot_adr,15725,count
51610,county,"Falls Church city, Virginia",2015,tot_adr,9119,count
51620,county,"Franklin city, Virginia",2015,tot_adr,4848,count
51630,county,"Fredericksburg city, Virginia",2015,tot_adr,18960,count
51640,county,"Galax city, Virginia",2015,tot_adr,5246,count
51650,county,"Hampton city, Virginia",2015,tot_adr,76353,count
51660,county,"Harrisonburg city, Virginia",2015,tot_adr,25225,count
51670,county,"Hopewell city, Virginia",2015,tot_adr,11954,count
51678,county,"Lexington city, Virginia",2015,tot_adr,7588,count
51680,county,"Lynchburg city, Virginia",2015,tot_adr,40953,count
51683,county,"Manassas city, Virginia",2015,tot_adr,19620,count
51685,county,"Manassas Park city, Virginia",2015,tot_adr,6493,count
51690,county,"Martinsville city, Virginia",2015,tot_adr,8722,count
51700,county,"Newport News city, Virginia",2015,tot_adr,100960,count
51710,county,"Norfolk city, Virginia",2015,tot_adr,126205,count
51720,county,"Norton city, Virginia",2015,tot_adr,2068,count
51730,county,"Petersburg city, Virginia",2015,tot_adr,22474,count
51735,county,"Poquoson city, Virginia",2015,tot_adr,5646,count
51740,county,"Portsmouth city, Virginia",2015,tot_adr,51990,count
51750,county,"Radford city, Virginia",2015,tot_adr,8050,count
51760,county,"Richmond city, Virginia",2015,tot_adr,134843,count
51770,county,"Roanoke city, Virginia",2015,tot_adr,61677,count
51775,county,"Salem city, Virginia",2015,tot_adr,15436,count
51790,county,"Staunton city, Virginia",2015,tot_adr,16194,count
51800,county,"Suffolk city, Virginia",2015,tot_adr,44066,count
51810,county,"Virginia Beach city, Virginia",2015,tot_adr,222188,count
51820,county,"Waynesboro city, Virginia",2015,tot_adr,13468,count
51830,county,"Williamsburg city, Virginia",2015,tot_adr,9252,count
51840,county,"Winchester city, Virginia",2015,tot_adr,18201,count
51001,county,"Accomack County, Virginia",2015,vac_res_adr,147,count
51003,county,"Albemarle County, Virginia",2015,vac_res_adr,291,count
51005,county,"Alleghany County, Virginia",2015,vac_res_adr,266,count
51007,county,"Amelia County, Virginia",2015,vac_res_adr,2,count
51009,county,"Amherst County, Virginia",2015,vac_res_adr,32,count
51011,county,"Appomattox County, Virginia",2015,vac_res_adr,28,count
51013,county,"Arlington County, Virginia",2015,vac_res_adr,347,count
51015,county,"Augusta County, Virginia",2015,vac_res_adr,18,count
51017,county,"Bath County, Virginia",2015,vac_res_adr,25,count
51019,county,"Bedford County, Virginia",2015,vac_res_adr,342,count
51021,county,"Bland County, Virginia",2015,vac_res_adr,4,count
51023,county,"Botetourt County, Virginia",2015,vac_res_adr,87,count
51025,county,"Brunswick County, Virginia",2015,vac_res_adr,43,count
51027,county,"Buchanan County, Virginia",2015,vac_res_adr,53,count
51029,county,"Buckingham County, Virginia",2015,vac_res_adr,6,count
51031,county,"Campbell County, Virginia",2015,vac_res_adr,510,count
51033,county,"Caroline County, Virginia",2015,vac_res_adr,0,count
51035,county,"Carroll County, Virginia",2015,vac_res_adr,44,count
51036,county,"Charles City County, Virginia",2015,vac_res_adr,4,count
51037,county,"Charlotte County, Virginia",2015,vac_res_adr,42,count
51041,county,"Chesterfield County, Virginia",2015,vac_res_adr,702,count
51043,county,"Clarke County, Virginia",2015,vac_res_adr,46,count
51045,county,"Craig County, Virginia",2015,vac_res_adr,31,count
51047,county,"Culpeper County, Virginia",2015,vac_res_adr,171,count
51049,county,"Cumberland County, Virginia",2015,vac_res_adr,1,count
51051,county,"Dickenson County, Virginia",2015,vac_res_adr,96,count
51053,county,"Dinwiddie County, Virginia",2015,vac_res_adr,4,count
51057,county,"Essex County, Virginia",2015,vac_res_adr,1,count
51059,county,"Fairfax County, Virginia",2015,vac_res_adr,1266,count
51061,county,"Fauquier County, Virginia",2015,vac_res_adr,78,count
51063,county,"Floyd County, Virginia",2015,vac_res_adr,17,count
51065,county,"Fluvanna County, Virginia",2015,vac_res_adr,2,count
51067,county,"Franklin County, Virginia",2015,vac_res_adr,102,count
51069,county,"Frederick County, Virginia",2015,vac_res_adr,20,count
51071,county,"Giles County, Virginia",2015,vac_res_adr,365,count
51073,county,"Gloucester County, Virginia",2015,vac_res_adr,7,count
51075,county,"Goochland County, Virginia",2015,vac_res_adr,6,count
51077,county,"Grayson County, Virginia",2015,vac_res_adr,37,count
51079,county,"Greene County, Virginia",2015,vac_res_adr,0,count
51081,county,"Greensville County, Virginia",2015,vac_res_adr,14,count
51083,county,"Halifax County, Virginia",2015,vac_res_adr,469,count
51085,county,"Hanover County, Virginia",2015,vac_res_adr,71,count
51087,county,"Henrico County, Virginia",2015,vac_res_adr,938,count
51089,county,"Henry County, Virginia",2015,vac_res_adr,675,count
51091,county,"Highland County, Virginia",2015,vac_res_adr,2,count
51093,county,"Isle of Wight County, Virginia",2015,vac_res_adr,61,count
51095,county,"James City County, Virginia",2015,vac_res_adr,141,count
51097,county,"King and Queen County, Virginia",2015,vac_res_adr,0,count
51099,county,"King George County, Virginia",2015,vac_res_adr,3,count
51101,county,"King William County, Virginia",2015,vac_res_adr,0,count
51103,county,"Lancaster County, Virginia",2015,vac_res_adr,7,count
51105,county,"Lee County, Virginia",2015,vac_res_adr,427,count
51107,county,"Loudoun County, Virginia",2015,vac_res_adr,112,count
51109,county,"Louisa County, Virginia",2015,vac_res_adr,4,count
51111,county,"Lunenburg County, Virginia",2015,vac_res_adr,1,count
51113,county,"Madison County, Virginia",2015,vac_res_adr,0,count
51115,county,"Mathews County, Virginia",2015,vac_res_adr,6,count
51117,county,"Mecklenburg County, Virginia",2015,vac_res_adr,264,count
51119,county,"Middlesex County, Virginia",2015,vac_res_adr,31,count
51121,county,"Montgomery County, Virginia",2015,vac_res_adr,700,count
51125,county,"Nelson County, Virginia",2015,vac_res_adr,33,count
51127,county,"New Kent County, Virginia",2015,vac_res_adr,0,count
51131,county,"Northampton County, Virginia",2015,vac_res_adr,292,count
51133,county,"Northumberland County, Virginia",2015,vac_res_adr,17,count
51135,county,"Nottoway County, Virginia",2015,vac_res_adr,142,count
51137,county,"Orange County, Virginia",2015,vac_res_adr,103,count
51139,county,"Page County, Virginia",2015,vac_res_adr,175,count
51141,county,"Patrick County, Virginia",2015,vac_res_adr,74,count
51143,county,"Pittsylvania County, Virginia",2015,vac_res_adr,504,count
51145,county,"Powhatan County, Virginia",2015,vac_res_adr,1,count
51147,county,"Prince Edward County, Virginia",2015,vac_res_adr,78,count
51149,county,"Prince George County, Virginia",2015,vac_res_adr,68,count
51153,county,"Prince William County, Virginia",2015,vac_res_adr,482,count
51155,county,"Pulaski County, Virginia",2015,vac_res_adr,381,count
51157,county,"Rappahannock County, Virginia",2015,vac_res_adr,0,count
51159,county,"Richmond County, Virginia",2015,vac_res_adr,0,count
51161,county,"Roanoke County, Virginia",2015,vac_res_adr,566,count
51163,county,"Rockbridge County, Virginia",2015,vac_res_adr,11,count
51165,county,"Rockingham County, Virginia",2015,vac_res_adr,110,count
51167,county,"Russell County, Virginia",2015,vac_res_adr,19,count
51169,county,"Scott County, Virginia",2015,vac_res_adr,17,count
51171,county,"Shenandoah County, Virginia",2015,vac_res_adr,139,count
51173,county,"Smyth County, Virginia",2015,vac_res_adr,299,count
51175,county,"Southampton County, Virginia",2015,vac_res_adr,2,count
51177,county,"Spotsylvania County, Virginia",2015,vac_res_adr,116,count
51179,county,"Stafford County, Virginia",2015,vac_res_adr,91,count
51181,county,"Surry County, Virginia",2015,vac_res_adr,58,count
51183,county,"Sussex County, Virginia",2015,vac_res_adr,1,count
51185,county,"Tazewell County, Virginia",2015,vac_res_adr,948,count
51187,county,"Warren County, Virginia",2015,vac_res_adr,264,count
51191,county,"Washington County, Virginia",2015,vac_res_adr,119,count
51193,county,"Westmoreland County, Virginia",2015,vac_res_adr,219,count
51195,county,"Wise County, Virginia",2015,vac_res_adr,111,count
51197,county,"Wythe County, Virginia",2015,vac_res_adr,174,count
51199,county,"York County, Virginia",2015,vac_res_adr,141,count
51510,county,"Alexandria city, Virginia",2015,vac_res_adr,196,count
51520,county,"Bristol city, Virginia",2015,vac_res_adr,560,count
51530,county,"Buena Vista city, Virginia",2015,vac_res_adr,210,count
51540,county,"Charlottesville city, Virginia",2015,vac_res_adr,468,count
51550,county,"Chesapeake city, Virginia",2015,vac_res_adr,773,count
51570,county,"Colonial Heights city, Virginia",2015,vac_res_adr,241,count
51580,county,"Covington city, Virginia",2015,vac_res_adr,334,count
51590,county,"Danville city, Virginia",2015,vac_res_adr,2939,count
51595,county,"Emporia city, Virginia",2015,vac_res_adr,186,count
51600,county,"Fairfax city, Virginia",2015,vac_res_adr,23,count
51610,county,"Falls Church city, Virginia",2015,vac_res_adr,37,count
51620,county,"Franklin city, Virginia",2015,vac_res_adr,171,count
51630,county,"Fredericksburg city, Virginia",2015,vac_res_adr,255,count
51640,county,"Galax city, Virginia",2015,vac_res_adr,114,count
51650,county,"Hampton city, Virginia",2015,vac_res_adr,1957,count
51660,county,"Harrisonburg city, Virginia",2015,vac_res_adr,141,count
51670,county,"Hopewell city, Virginia",2015,vac_res_adr,629,count
51678,county,"Lexington city, Virginia",2015,vac_res_adr,127,count
51680,county,"Lynchburg city, Virginia",2015,vac_res_adr,1112,count
51683,county,"Manassas city, Virginia",2015,vac_res_adr,88,count
51685,county,"Manassas Park city, Virginia",2015,vac_res_adr,19,count
51690,county,"Martinsville city, Virginia",2015,vac_res_adr,742,count
51700,county,"Newport News city, Virginia",2015,vac_res_adr,1757,count
51710,county,"Norfolk city, Virginia",2015,vac_res_adr,2690,count
51720,county,"Norton city, Virginia",2015,vac_res_adr,177,count
51730,county,"Petersburg city, Virginia",2015,vac_res_adr,1769,count
51735,county,"Poquoson city, Virginia",2015,vac_res_adr,27,count
51740,county,"Portsmouth city, Virginia",2015,vac_res_adr,1266,count
51750,county,"Radford city, Virginia",2015,vac_res_adr,163,count
