"PUMA","age","rank","grouped_OCCP_label_female","grouped_OCCP_label_male","n_female","n_male","n_se_female","n_se_male"
"59304","30 to 49",4,"Office and Administrative Support","Military",1230,1133,180.360472387938,243.846468090067
"59304","30 to 49",5,"Business Operations","Protective Service",998,993,199.936489916173,183.610593376308
"59304","over 50",1,"Office and Administrative Support","Management",1909,3624,257.030834726108,282.9998233215
"59304","over 50",2,"Management","Computer and Mathematical",1553,1375,214.142592680672,151.767585471997
"59304","over 50",3,"Educational Instruction and Library","Business Operations",1278,1038,164.466561951054,152.777125251132
"59304","over 50",4,"Healthcare Practioners and Technical","Sales and Related",1064,972,137.393049314731,159.606704119846
"59304","over 50",5,"Financial Operations","Transportation and Material Moving",900,733,248.983935224745,140.451771081749
"59305","16 to 29",1,"Office and Administrative Support","Computer and Mathematical",965,1587,201.808448782503,307.683522470736
"59305","16 to 29",2,"Sales and Related","Food Preparation and Serving Related",908,1209,178.301710591907,235.029253498368
"59305","16 to 29",3,"Computer and Mathematical","Sales and Related",881,975,209.08024775191,205.776213396981
"59305","16 to 29",4,"Educational Instruction and Library","Transportation and Material Moving",743,622,149.36950826725,141.576834263237
"59305","16 to 29",5,"Food Preparation and Serving Related","Office and Administrative Support",697,621,166.986376689837,122.96910181017
"59305","30 to 49",1,"Management","Computer and Mathematical",3378,3862,292.609381257676,351.803993723778
"59305","30 to 49",2,"Business Operations","Management",1555,3528,233.562732472456,310.553216051613
"59305","30 to 49",3,"Educational Instruction and Library","Business Operations",1535,1217,134.947952930009,173.854536897948
"59305","30 to 49",4,"Computer and Mathematical","Financial Operations",1458,818,188.173722926449,125.117145108095
"59305","30 to 49",5,"Healthcare Practioners and Technical","Legal",1349,818,178.720731869585,122.910129769682
"59305","over 50",1,"Management","Management",1979,4174,174.630610146102,272.07002775021
"59305","over 50",2,"Educational Instruction and Library","Computer and Mathematical",1958,1784,247.956246140322,246.377454325675
"59305","over 50",3,"Office and Administrative Support","Legal",1340,1239,178.422392092473,190.401549363444
"59305","over 50",4,"Business Operations","Business Operations",1012,1225,127.517645837743,149.636559703837
"59305","over 50",5,"Sales and Related","Sales and Related",1002,959,142.900489852205,125.636380081567
"59306","16 to 29",1,"Sales and Related","Food Preparation and Serving Related",991,915,204.201738484274,173.417127181833
"59306","16 to 29",2,"Office and Administrative Support","Computer and Mathematical",943,744,173.652526615653,194.697714419045
