tract,cbsa,other_1,other_2,other_3,other_4,other_5,other_6,other_7
51059491701,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491703,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491704,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491705,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491706,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491707,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491801,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491802,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491803,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059492000,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059492100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059492201,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059492202,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059492203,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059492300,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059492400,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059492500,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059980100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059980200,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059980300,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
