tract,cbsa,other_1,other_2,other_3,other_4,other_5,other_6,other_7
51059430400,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059430500,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059430600,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059430700,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059430801,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059430802,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059430901,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059430902,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059431001,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059431002,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059431300,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059431400,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059431500,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059431601,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059431602,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059431801,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059431802,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059431900,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059432000,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059432100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059432201,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059432202,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059432300,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059432401,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059432402,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059432500,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059432600,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059432701,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059432702,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059432800,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059440100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059440201,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059440202,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059440300,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059440501,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059440503,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059440504,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059440505,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059440600,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059440701,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059440702,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059440800,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059450100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059450200,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059450300,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059450400,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059450500,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059450601,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059450602,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059450701,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059450702,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059450800,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059450900,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059451000,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059451100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059451200,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059451300,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059451400,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059451501,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
