"","X","Accees.to.Care","Education","Employment.Access","Labor.Force.Participation","Population.Density","Walkability","Spatial.Segregation","Income.Inequality","Affordability","Environmental","Food.Access","Townsend","Incarceration","Mobility","geoid"
"45",45,0.86,0.607,0.046,0.679,0.059,0.314,0.225,0.405,0.559,0.73,0.416,0.525,0.79582964124834,0.118,51800065500
"46",46,0.994,0.703,0.067,0.981,0.033,0.487,0.7,0.53,0.506,0.386,0.468,0.803,0.892636327135858,0.37,51710000902
"47",47,0.888,0.618,0.138,0.681,0.029,0.656,0.319,0.365,0.633,0.476,0.897,0.442,0.756125472796795,0.289,51760060700
"48",48,0.932,0.639,0.195,0.688,0.08,0.774,0.481,0.412,0.59,0.569,0.97,0.653,0.883028882382908,0.186,51710002900
"49",49,0.92,0.614,0.05,0.623,0.046,0.292,0.413,0.372,0.558,0.704,0.672,0.564,0.829375649527907,0.089,51800065100
"50",50,0.923,0.698,0.083,0.781,0.152,0.637,0.756,0.411,0.611,0.511,0.878,0.721,0.939947663931051,0.515,51710001300
"51",51,0.874,0.63,0.211,0.626,0.121,0.896,0.413,0.361,0.559,0.554,0.903,0.427,0.801981936350217,0.338,51710002700
"52",52,0.907,0.651,0.088,0.499,0.057,0.858,0.562,0.355,0.506,0.593,0.636,0.685,0.852643712653774,0.287,51680001100
"53",53,0.887,0.625,0.095,0.499,0.073,0.927,0.506,0.276,0.633,0.594,0.639,0.528,0.785381816811807,0.397,51680000600
"54",54,0.866,0.63,0.226,0.612,0.097,0.715,0.326,0.365,0.651,0.554,0.856,0.466,0.80294797368195,0.254,51710004300
"55",55,0.873,0.642,0.052,0.622,0.013,0.729,0.819,0.329,0.633,0.511,0.038,0.738,0.854383917653222,0.278,51041100406
"56",56,0.912,0.625,0.042,0.575,0.04,0.356,0.55,0.237,0.485,0.641,0.982,0.544,0.828002828302932,0.317,51590001000
"57",57,0.881,0.641,0.099,0.704,0.098,0.777,0.669,0.252,0.601,0.583,0.91,0.506,0.845689984503883,0.508,51710005701
"58",58,0.818,0.526,0.051,0.722,0.039,0.529,0.712,0.46,0.637,0.48,0.593,0.479,0.803501617022796,0.254,51041100404
"59",59,0.793,0.581,0.119,0.628,0.031,0.832,0.769,0.334,0.601,0.571,0.889,0.45,0.844615362035783,0.435,51770001000
"60",60,0.783,0.611,0.433,0.809,0.296,0.726,0.694,0.386,0.675,0.452,1,0.409,0.924067396801331,0.293,51510201205
"61",61,0.825,0.6,0.021,0.626,0.01,0.331,0.544,0.283,0.295,0.697,0.936,0.567,0.872296544359751,0.15,51595890100
"62",62,0.895,0.638,0.13,0.709,0.108,0.63,0.446,0.354,0.587,0.631,0.741,0.6,0.869806087379797,0.136,51550020100
"63",63,0.913,0.849,0.774,0.851,0.687,0.718,0.687,0.379,0.611,0.359,0.999,0.678,1.1233875735006,0.318,51013101804
"64",64,0.931,0.672,0.108,0.66,0.138,0.435,0.706,0.427,0.559,0.589,0.333,0.818,0.895518706426883,0.657,51710002500
"65",65,0.916,0.597,0.019,0.567,0.026,0.323,0.244,0.419,0.337,0.715,0.358,0.465,0.71215704265138,0.376,51620090200
"66",66,0.844,0.704,0.342,0.811,0.156,0.838,0.906,0.39,0.643,0.574,0.979,0.627,1.03181549776259,0.247,51510200102
"67",67,0.958,0.843,0.051,0.643,0.009,0.481,0.619,0.168,0.443,0.71,0.907,0.764,0.962058732765366,0.47,51121020301
"68",68,0.832,0.577,0.139,0.536,0.069,0.73,0.587,0.294,0.569,0.496,0.622,0.511,0.769160343757349,0.525,51770002600
"69",69,0.869,0.54,0.552,0.731,0.608,0.607,0.619,0.416,0.685,0.547,0.998,0.558,0.978934192734827,0.187,51013102001
"70",70,0.921,0.73,0.324,0.749,0.262,0.683,0.839,0.414,0.675,0.401,0.997,0.672,0.985652185016639,0.418,51510200304
"71",71,0.923,0.718,0.462,0.681,0.077,0.927,0.694,0.331,0.643,0.27,0.667,0.621,0.831741221796959,0.693,51760030200
"72",72,0.921,0.661,0.069,0.558,0.036,0.719,0.488,0.344,0.517,0.668,0.275,0.625,0.810262919304091,0.281,51680000400
"73",73,0.918,0.74,0.375,0.637,0.174,0.683,0.787,0.378,0.643,0.479,0.98,0.632,0.981791506691081,0.182,51510200106
"74",74,0.956,0.869,1,0.812,0.499,0.832,0.706,0.32,0.622,0.256,1,0.617,1.05929871968033,0.348,51013101705
"75",75,0.822,0.685,0.32,0.801,0.283,0.62,0.869,0.385,0.685,0.298,0.958,0.666,1.00106063342622,0.228,51510200108
"76",76,0.931,0.652,0.103,0.73,0.129,0.632,0.681,0.348,0.59,0.661,1,0.713,0.961205043053963,0.152,51810045810
"77",77,0.942,0.789,0.564,0.78,0.215,0.462,0.825,0.435,0.685,0.337,1,0.647,1.01648690209201,0.214,51013103300
"78",78,0.908,0.632,0.168,0.653,0.067,0.579,0.344,0.192,0.622,0.532,0.251,0.52,0.736058778710309,0.225,51710004600
"79",79,0.935,0.601,0.087,0.604,0.053,0.668,0.437,0.265,0.643,0.67,0.932,0.562,0.808453932465198,0.319,51770000900
"80",80,0.916,0.686,0.031,0.485,0.028,0.584,0.4,0.186,0.495,0.603,0.814,0.597,0.798836993544638,0.374,51520020201
"81",81,0.898,0.69,0.187,0.676,0.075,0.772,0.744,0.451,0.569,0.658,0.973,0.761,0.998114628396192,0.287,51810040600
