"","Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","Spatial Segregation","Income Inequality","Affordability","Environmental","Food Access","Townsend","Mobility","geoid","Incarceration"
"1771",0.981,0.738,0.025,0.669,0.003,0.128,0.304,0.52,0.346,0.694,0.787,0.954,0.85,"51085321402",0.896773162487481
"1772",0.978,0.749,0.098,0.745,0.046,0.494,0.696,0.629,0.318,0.722,0.911,0.95,0.898,"51810045422",1.00378516938395
"1773",0.986,0.836,0.112,0.665,0.021,0.174,0.5,0.476,0.391,0.672,0.906,0.957,0.972,"51059491101",0.969863035633485
"1774",0.916,0.658,0.02,0.637,0.002,0.184,0.323,0.375,0.405,0.776,0.564,0.915,0.891,"51031020101",0.856498701245519
"1775",0.963,0.791,0.17,0.676,0.083,0.791,0.684,0.509,0.506,0.612,0.994,0.914,0.913,"51059430801",0.993633932262495
"1776",0.972,0.702,0.029,0.534,0.004,0.17,0.184,0.445,0.394,0.726,0.719,0.901,0.921,"51161030300",0.828116741132971
"1777",0.972,0.797,0.074,0.6,0.009,0.568,0.456,0.406,0.492,0.742,0.921,0.825,0.84,"51003010501",0.923360687212404
"1778",0.983,0.815,0.015,0.631,0.008,0.325,0.291,0.408,0.425,0.778,0.892,0.907,0.839,"51003011101",0.925492981565072
"1779",0.889,0.647,0.008,0.529,0,0.221,0.437,0.378,0.278,0.791,0.346,0.813,0.92,"51037930102",0.823281318489359
"1780",0.981,0.734,0.038,0.623,0.035,0.357,0.601,0.49,0.419,0.751,0.877,0.91,0.891,"51650010103",0.946706145967436
"1781",0.992,0.871,0.119,0.514,0.005,0.202,0.506,0.385,0.281,0.641,0.916,0.902,0.928,"51059480100",0.942369405322841
"1782",0.965,0.735,0.02,0.562,0.001,0.223,0.475,0.373,0.355,0.776,0.706,0.934,0.882,"51075400200",0.907269329222724
"1783",0.939,0.755,0.069,0.638,0.049,0.687,0.57,0.466,0.444,0.71,0.965,0.877,0.927,"51740213002",0.952827699338841
"1784",0.568,0.668,0.012,0.544,0.001,0.231,0.481,0.513,0.335,0.852,0.458,0.864,0.968,"51001090201",0.989910454580563
"1785",0.996,0.819,0.153,0.627,0.086,0.54,0.639,0.594,0.453,0.63,0.995,0.944,0.81,"51059431900",1.01111749606519
"1786",0.956,0.686,0.015,0.654,0.001,0.152,0.253,0.53,0.346,0.795,0.761,0.867,0.917,"51800075405",0.862045660849995
"1787",0.979,0.813,0.215,0.719,0.04,0.284,0.684,0.537,0.338,0.595,0.998,0.88,0.87,"51059491705",0.993148044597755
"1788",0.965,0.678,0.018,0.578,0.002,0.127,0.253,0.4,0.354,0.751,0.675,0.915,0.945,"51023040502",0.83333027336596
"1789",0.975,0.765,0.214,0.526,0.099,0.596,0.778,0.453,0.459,0.644,0.997,0.716,0.728,"51059440505",0.952812122275793
"1790",0.987,0.756,0.06,0.506,0.031,0.487,0.608,0.556,0.56,0.676,0.995,0.905,0.802,"51153901012",0.954001051038711
