"","Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","Spatial Segregation","Income Inequality","Affordability","Environmental","Food Access","Townsend","Mobility","geoid","Incarceration"
"1",0.946,0.566,0.451,0.443,0.155,0.69,0.145,0.375,0.829,0.34,0.999,0,0.735,"51760030100",0.54006651117254
"2",0.902,0.624,0.285,0.61,0.106,0.729,0.308,0.353,0.765,0.395,0.856,0.279,0.82,"51710004800",0.662637047387119
"3",0.905,0.608,0.204,0.447,0.187,0.679,0.151,0.34,0.748,0.483,0.989,0.23,0.907,"51760020200",0.628500885850715
"4",0.894,0.61,0.146,0.642,0.057,0.736,0.526,0.504,0.586,0.563,0.487,0.347,0.492,"51770002502",0.739998600818264
"5",0.854,0.589,0.284,0.572,0.107,0.729,0.336,0.172,0.806,0.4,1,0.169,0.896,"51710004200",0.626335672071616
"6",0.904,0.811,0.473,0.659,0.091,0.915,0.828,0.245,0.633,0.152,0.918,0.53,0.406,"51760030501",0.88914209394972
"7",0.921,0.615,0.268,0.461,0.092,0.604,0.187,0.385,0.73,0.452,0.947,0.298,0.881,"51760020100",0.638141811773665
"8",0.918,0.632,0.292,0.644,0.219,0.661,0.266,0.416,0.806,0.349,1,0.246,0.86,"51710004100",0.672624079202836
"9",0.884,0.628,0.055,0.596,0.018,0.41,0.259,0.494,0.633,0.544,0.212,0.307,0.815,"51730810100",0.627192483124975
"10",0.937,0.624,0.087,0.603,0.039,0.751,0.745,0.476,0.714,0.623,0.771,0.374,0.554,"51700030100",0.793047401658383
"11",0.907,0.631,0.14,0.476,0.1,0.627,0.278,0.348,0.691,0.46,1,0.355,0.818,"51740211800",0.679488230685099
"12",0.884,0.626,0.259,0.606,0.099,0.678,0.195,0.349,0.645,0.522,0.959,0.318,0.862,"51710003501",0.685609097481067
"13",0.971,0.785,0.136,0.324,0.087,0.628,0.771,0.305,0.635,0.682,0.938,0.297,0.213,"51003010904",0.858760498591709
"14",0.957,0.875,1,0.859,0.584,0.832,0.757,0.508,0.61,0,1,0.546,0.703,"51013101704",1.00513296982354
"15",0.993,0.865,0.618,0.857,0.789,0.849,0.608,0.563,0.594,0.504,0.998,0.63,0.596,"51013101408",1.10294296972654
"16",0.905,0.593,0.354,0.358,0.126,0.614,0.296,0.369,0.783,0.461,0.999,0.374,0.652,"51760020400",0.700965457103844
"17",0.915,0.657,0.139,0.685,0.087,0.903,0.285,0.112,0.645,0.491,1,0.277,0.692,"51740210500",0.676117088171923
"18",0.83,0.573,0.362,0.685,0.267,0.946,0.713,0.405,0.668,0.472,0.986,0.328,0.923,"51059451400",0.803074008562915
"19",0.968,0.805,0.479,0.451,0.273,0.739,0.885,0.12,0.529,0.132,0.887,0.256,0,"51760040300",0.830853101540588
"20",0.89,0.696,0.445,0.801,0.368,0.634,0.936,0.466,0.725,0.5,1,0.424,0.917,"51013102701",0.94581903831127
"21",0.82,0.585,0.126,0.576,0.022,0.656,0.625,0.5,0.609,0.428,0.975,0.409,0.834,"51760060800",0.758524126694863
"22",0.918,0.624,0.034,0.482,0.021,0.252,0.47,0.323,0.506,0.628,0.608,0.385,0.81,"51590000400",0.692555916338317
"23",0.929,0.626,0.047,0.452,0.055,0.313,0.157,0.34,0.633,0.62,0.158,0.534,0.792,"51730810600",0.648263994944795
"24",0.751,0.457,0.333,0.694,0.253,0.863,0.515,0.442,0.656,0.49,0.992,0.177,0.849,"51059451601",0.717685867798796
"25",0.932,0.619,0.049,0.45,0.066,0.487,0.272,0.215,0.656,0.577,0.242,0.304,0.564,"51730810700",0.608908474740159
"26",0.882,0.655,0.143,0.633,0.054,0.565,0.202,0.459,0.622,0.575,0.121,0.499,0.805,"51760010300",0.69216463527653
"27",0.789,0.628,0.47,0.85,0.324,0.726,0.681,0.465,0.668,0.462,1,0.476,0.745,"51510201206",0.926680788973747
"28",0.969,0.834,0.696,0.747,0.307,0.902,0.84,0.479,0.633,0.351,1,0.52,0.573,"51013103505",0.989657585528312
