blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""517700030003""","""Roanoke, VA""",1.00,1536.00,736.00,332.84,40,47,38,20,25,19,20,22,19,6.82,15.09,1.39,1,1,17189,15459,17989,4,4,4,10014,8862,10479,7576,6661,7929,2382,2142,2493,56,59,57,59,63,60,8.4,8.4,6.19,2.21,15020,32,22921,88,10,167,848,848,1334,722,21,79
"""511210202015""","""Blacksburg-Christiansburg-Radford, VA""",1.00,624.00,268.00,589.74,49,58,43,27,34,23,22,24,19,,,1.38,1,1,16948,15110,17811,6,6,6,9955,8621,10482,7505,6429,7911,2349,2095,2468,102,98,104,114,110,117,8.1,6.3,3.09,0.45,7248,24,15034,87,39,55,1548,1038,,1038,7,93
"""510594526003""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1377.00,421.00,118.91,38,46,62,25,31,43,13,15,19,8.73,30.92,1.69,1,1,17952,15201,16450,17,15,15,12202,10727,10484,9633,8546,8128,2489,2107,2279,81,74,76,45,41,42,7.6,8.9,8.05,3.54,48362,29,65513,91,10,124,1387,1910,1824,2106,69,31
"""510872001124""","""Richmond, VA""",1.00,838.00,601.00,292.52,41,48,45,23,28,25,18,20,19,5.17,10.63,1.48,1,1,19218,16873,19029,2,1,2,10753,9628,10491,8080,7283,7843,2663,2338,2637,10,8,11,8,7,9,8.4,8.6,10.64,2.05,12121,21,13535,85,13,98,762,1135,1500,1027,23,77
"""516500103133""","""Virginia Beach-Norfolk-Newport News, VA-NC""",1.00,2218.00,1089.00,280.91,41,49,45,23,29,25,18,20,19,7.03,27.26,1.51,1,1,18012,15674,17686,4,4,4,10783,9512,10491,8224,7283,7974,2496,2172,2451,63,58,66,60,55,63,8.8,7.0,15.10,3.88,17489,14,25209,89,8,242,702,1134,,1134,28,72
"""511210202012""","""Blacksburg-Christiansburg-Radford, VA""",1.00,1414.00,691.00,84.85,47,55,41,25,31,21,22,23,19,7.42,60.39,1.37,1,1,16818,15035,17657,9,9,10,9935,8541,10492,7439,6300,7875,2330,2084,2447,166,157,170,186,176,190,8.3,5.9,6.79,8.14,6895,33,9705,86,12,317,919,946,1183,903,15,85
"""511498502004""","""Richmond, VA""",1.00,1990.00,540.00,638.18,47,57,52,29,37,33,18,20,19,9.37,7.93,1.48,1,1,19746,17560,19549,1,1,1,10772,9755,10492,8034,7321,7781,2736,2433,2709,2,1,2,1,1,1,8.3,6.0,2.05,0.85,6027,14,6585,84,43,61,1719,1464,,1464,3,97
"""517100055002""","""Virginia Beach-Norfolk-Newport News, VA-NC""",1.00,1114.00,345.00,44.33,40,47,43,21,27,23,18,20,19,8.29,64.49,1.52,1,1,17066,15242,16745,7,7,8,10785,9497,10493,8296,7261,8044,2365,2112,2320,124,124,129,118,118,122,8.4,8.7,10.42,7.78,25408,49,19377,86,4,520,599,1046,1566,800,32,68
"""510030112013""","""Charlottesville, VA""",1.00,1605.00,581.00,29685.79,60,70,66,32,40,36,28,31,30,11.38,0.22,2.30,2,2,25625,23034,26318,0,0,0,16674,14759,16222,13122,11567,12575,3552,3192,3647,0,0,0,0,0,0,0.5,0.1,0.14,0.02,2425,97,2606,85,193,12,3005,1600,1818,598,82,18
"""510030107003""","""Charlottesville, VA""",1.00,2747.00,1152.00,268.78,39,46,43,21,26,24,18,19,19,6.92,29.64,1.44,1,1,17003,14716,17596,7,6,7,10764,9221,10496,8196,6993,7834,2357,2039,2438,210,188,223,287,257,305,8.7,5.5,13.66,4.29,12886,6,32054,91,17,183,1098,1062,1119,1050,17,83
"""517100065012""","""Virginia Beach-Norfolk-Newport News, VA-NC""",1.00,1714.00,635.00,106.07,38,45,41,20,25,22,18,20,19,7.62,45.59,1.51,1,1,17826,15776,17498,5,5,5,10799,9554,10496,8242,7283,7981,2470,2186,2425,86,84,91,82,80,86,8.7,7.6,8.03,5.99,17223,27,11974,86,7,206,793,981,1483,843,22,78
"""510594913014""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,2334.00,727.00,219.46,34,40,55,20,26,35,13,15,19,8.63,28.59,1.68,1,1,19245,16371,17629,7,6,6,12283,10858,10498,9581,8561,8024,2668,2269,2443,35,27,31,19,15,17,8.5,6.9,5.37,3.31,23959,2,22472,89,16,95,1398,1577,1910,1360,39,61
"""510594618022""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1569.00,715.00,92.01,37,44,60,24,30,41,13,14,19,7.12,55.32,1.67,1,1,19119,16051,17526,9,7,8,12245,10696,10498,9551,8435,8030,2650,2225,2429,44,35,40,24,19,22,8.1,8.9,14.29,7.77,31507,2,49906,90,13,230,1191,1838,1901,1730,63,37
"""515102013001""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,843.00,355.00,85.19,49,59,81,36,45,62,13,14,19,7.03,29.29,1.69,1,1,17890,15248,16446,16,14,15,12228,10689,10505,9672,8506,8154,2480,2114,2279,75,69,73,50,46,48,6.2,9.8,5.43,4.17,51098,64,87243,89,4,310,594,2770,2770,,89,11
"""511552103001""","""Blacksburg-Christiansburg-Radford, VA""",1.00,618.00,257.00,15275.24,62,72,53,27,34,23,34,38,30,10.83,0.18,2.22,2,2,25278,22488,26434,0,0,0,15610,13791,16231,12108,10674,12566,3503,3117,3663,0,0,2,0,0,2,0.1,1.2,0.36,0.02,1614,86,1634,82,325,10,3539,1039,1039,,96,4
"""510030113032""","""Charlottesville, VA""",1.00,1299.00,746.00,803.89,44,51,48,26,32,29,18,19,20,6.71,6.22,1.44,1,1,17939,15693,18531,4,3,4,10794,9280,10513,8194,7003,7827,2487,2175,2568,113,103,118,154,140,161,8.6,4.7,5.80,0.93,9302,2,12685,88,30,91,1287,1289,1611,1250,11,89
"""517100031002""","""Virginia Beach-Norfolk-Newport News, VA-NC""",1.00,689.00,239.00,58.65,40,47,43,22,27,24,18,20,20,6.59,26.83,1.54,1,1,16808,15119,16480,7,7,7,10816,9558,10514,8366,7337,8105,2329,2095,2284,121,127,126,115,120,119,8.5,8.6,5.57,4.07,27414,54,29339,88,3,371,489,1060,1167,1018,28,72
"""518100424002""","""Virginia Beach-Norfolk-Newport News, VA-NC""",1.00,1312.00,479.00,118.43,46,55,50,28,34,30,19,21,20,7.37,29.81,1.54,1,1,18105,15931,17795,6,6,6,10991,9718,10707,8363,7395,8118,2509,2208,2466,119,116,123,113,110,117,8.1,9.0,6.14,4.04,23955,41,27155,87,7,265,743,1351,1721,1114,39,61
"""510594223021""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,531.00,295.00,137.41,39,47,64,26,32,44,13,15,20,6.64,14.25,1.70,2,2,19433,16237,17798,9,8,8,12442,10858,10708,9703,8570,8203,2694,2251,2466,45,37,39,25,21,22,7.6,8.7,5.98,2.15,37490,4,45557,90,15,140,1068,1966,2132,1479,75,25
"""510594162001""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1361.00,362.00,3737.12,50,61,82,36,45,62,14,15,20,8.10,0.78,1.74,2,2,19102,17230,17662,2,2,2,12571,11298,10709,9914,8902,8251,2648,2389,2448,9,8,10,5,4,6,7.8,6.8,2.21,0.10,14014,45,17134,88,35,38,1865,2794,,2794,2,98
"""517750105011""","""Roanoke, VA""",1.00,679.00,426.00,298.70,42,49,40,22,27,20,20,22,20,5.35,7.62,1.40,1,1,17969,15630,19028,4,4,4,10187,8927,10713,7643,6711,8019,2490,2166,2637,54,50,58,57,53,61,8.1,8.9,12.39,1.43,11860,17,22386,87,10,179,991,916,989,853,46,54
"""517600602001""","""Richmond, VA""",1.00,1182.00,334.00,258.59,41,48,45,23,28,25,18,20,20,7.41,9.57,1.54,1,2,17401,15810,17202,7,7,7,10941,9667,10714,8399,7343,8194,2411,2191,2384,131,133,136,111,112,115,7.1,9.5,4.02,1.29,20128,77,43296,88,6,193,633,1125,1053,1172,39,61
"""510872001162""","""Richmond, VA""",1.00,482.00,310.00,147.19,39,47,43,21,26,24,18,20,20,5.93,12.50,1.52,1,1,18994,16015,18858,2,2,2,10928,9642,10715,8281,7413,8087,2632,2219,2613,15,10,15,13,8,13,8.0,9.1,4.68,2.11,18579,12,19390,86,8,161,807,1056,1004,1136,60,40
