"","CT2","FIPS","Geographic Area Name","Tpop","Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","Spatial Segregation","Income Inequality","Affordability","Environmental","Food Access","Townsend","Incarceration","Mobility","County","LifeExpectancy"
"30","51013103503",0.014,"Census Tract 1035.03, Arlington County, Virginia",0.308,0.921,0.783,0.659,0.831,0.732,0.526,0.825,0.749,0.724,0.381,0.996,0.404,0.992,0.712,NA,0.71
"31","51760021000",0.905,"Census Tract 210, Richmond city, Virginia",0.174,0.9,0.425,0.112,0.784,0.076,0.484,0.553,0.387,0.789,0.589,0.997,0.408,0.492,0.878,"Richmond city",0.551
"32","51710005100",0.845,"Census Tract 51, Norfolk city, Virginia",0.267,0.915,0.396,0.144,0.656,0.064,0.668,0.347,0.546,0.75,0.697,0.349,0.412,0.447,0.805,"Norfolk city",0.436
"33","51650011400",0.774,"Census Tract 114, Hampton city, Virginia",0.172,0.957,0.415,0.085,0.291,0.03,0.405,0.64,0,0.724,0.79,0.979,0.414,0.962,0.316,NA,0.492
"34","51087200805",0.103,"Census Tract 2008.05, Henrico County, Virginia",0.271,0.894,0.377,0.12,0.668,0.074,0.853,0.339,0.327,0.75,0.681,0.711,0.414,0.429,0.798,"Henrico County",0.446
"35","51013103602",0.014,"Census Tract 1036.02, Arlington County, Virginia",0.082,0.968,0.802,0.581,0.824,0.177,0.589,0.936,0.745,0.737,0.51,0.833,0.415,1,0.601,"Arlington County",0.818
"36","51700030800",0.833,"Census Tract 308, Newport News city, Virginia",0.116,0.924,0.311,0.126,0.608,0.034,0.516,0.564,0.571,0.671,0.728,0.909,0.416,0.581,0.862,"Newport News city",0.639
"37","51760060900",0.905,"Census Tract 609, Richmond city, Virginia",0.096,0.883,0.217,0.091,0.576,0.011,0.358,0.739,0.551,0.684,0.552,0.649,0.424,0.705,0.812,"Richmond city",0.463
"38","51590000500",0.702,"Census Tract 5, Danville city, Virginia",0.114,0.934,0.358,0.042,0.489,0.014,0.7,0.754,0.59,0.645,0.711,0.999,0.433,0.601,0.732,"Danville city",0.348
"39","51013101603",0.014,"Census Tract 1016.03, Arlington County, Virginia",0.265,0.922,0.708,0.914,0.779,0.289,0.7,0.895,0.513,0.658,0.352,0.999,0.434,0.991,0.765,NA,0.718
"40","51760070601",0.905,"Census Tract 706.01, Richmond city, Virginia",0.376,0.806,0.179,0.106,0.644,0.077,0.753,0.472,0.687,0.684,0.689,0.99,0.434,0.83,0.777,"Richmond city",0.503
"41","51700030400",0.833,"Census Tract 304, Newport News city, Virginia",0.238,0.901,0.368,0.094,0.678,0.06,0.721,0.37,0.434,0.684,0.762,0.933,0.438,0.411,0.894,"Newport News city",0.334
"42","51105950301",0.124,"Census Tract 9503.01, Lee County, Virginia",0.131,0.926,0.302,0.002,0.393,0.004,0.526,0.776,0.31,0.421,0.845,0.743,0.446,0.501,0.761,"Lee County",0.51
"43","51740212100",0.881,"Census Tract 2121, Portsmouth city, Virginia",0.09,0.954,0.34,0.15,0.52,0.063,0.589,0.721,0.537,0.776,0.608,0.262,0.447,0.51,0.809,"Portsmouth city",0.206
"44","51059461902",0.069,"Census Tract 4619.02, Fairfax County, Virginia",0.117,0.852,0.274,0.238,0.722,0.083,0.316,0.863,0.847,0.737,0.615,0.634,0.45,0.956,0.844,"Fairfax County",0.764
"45","51800065500",0.952,"Census Tract 655, Suffolk city, Virginia",0.168,0.926,0.208,0.034,0.476,0.032,0.432,0.562,0.625,0.684,0.837,0.77,0.45,0.439,0.886,"Suffolk city",0.291
"46","51710000902",0.845,"Census Tract 9.02, Norfolk city, Virginia",1,0.838,0.519,0.055,0.98,0.019,0.247,0.843,0.673,0.434,0.523,0.685,0.45,0.994,0.471,"Norfolk city",0.551
"47","51760060700",0.905,"Census Tract 607, Richmond city, Virginia",0.369,0.91,0.34,0.131,0.577,0.038,0.911,0.304,0.599,0.711,0.601,0.807,0.45,0.507,0.831,"Richmond city",0.193
"48","51710002900",0.845,"Census Tract 29, Norfolk city, Virginia",0.221,0.895,0.396,0.175,0.706,0.065,0.805,0.6,0.582,0.658,0.703,0.98,0.453,0.458,0.756,"Norfolk city",0.557
"49","51800065100",0.952,"Census Tract 651, Suffolk city, Virginia",0.144,0.918,0.33,0.04,0.695,0.033,0.368,0.666,0.699,0.645,0.809,0.842,0.454,0.573,0.84,"Suffolk city",0.399
"50","51710001300",0.845,"Census Tract 13, Norfolk city, Virginia",0.162,0.92,0.453,0.08,0.842,0.083,0.489,0.791,0.73,0.697,0.673,0.731,0.457,0.795,0.771,"Norfolk city",0.402
"51","51710002700",0.845,"Census Tract 27, Norfolk city, Virginia",0.183,0.917,0.396,0.187,0.583,0.061,0.826,0.681,0.589,0.658,0.694,0.988,0.458,0.499,0.713,NA,0.413
"52","51680001100",0.809,"Census Tract 11, Lynchburg city, Virginia",0.133,0.911,0.368,0.073,0.57,0.036,0.316,0.724,0.537,0.618,0.726,0.441,0.459,0.413,0.712,"Lynchburg city",0.257
"53","51680000600",0.809,"Census Tract 6, Lynchburg city, Virginia",0.22,0.967,0.368,0.076,0.525,0.049,0.632,0.632,0.514,0.645,0.721,0.971,0.461,0.307,0.803,"Lynchburg city",0.402
"54","51710004300",0.845,"Census Tract 43, Norfolk city, Virginia",0.22,0.916,0.434,0.204,0.549,0.094,0.816,0.415,0.55,0.75,0.675,0.836,0.463,0.408,0.942,"Norfolk city",0.257
"55","51041100406",0.048,"Census Tract 1004.06, Chesterfield County, Virginia",0.109,0.929,0.292,0.049,0.554,0.01,0.353,0.796,0.658,0.724,0.644,0.32,0.464,0.659,0.929,"Chesterfield County",0.416
"56","51590001000",0.702,"Census Tract 10, Danville city, Virginia",0.215,0.939,0.33,0.037,0.508,0.02,0.411,0.679,0.494,0.553,0.74,0.991,0.464,0.577,0.919,"Danville city",0.348
"57","51710005701",0.845,"Census Tract 57.01, Norfolk city, Virginia",0.254,0.888,0.396,0.092,0.603,0.047,0.895,0.598,0.426,0.684,0.705,0.91,0.465,0.56,0.746,"Norfolk city",0.378
"58","51041100404",0.048,"Census Tract 1004.04, Chesterfield County, Virginia",0.151,0.869,0.17,0.051,0.683,0.027,0.332,0.868,0.644,0.671,0.609,0.766,0.467,0.78,0.856,"Chesterfield County",0.375
"59","51770001000",0.917,"Census Tract 10, Roanoke city, Virginia",0.145,0.905,0.415,0.124,0.616,0.017,0.579,0.754,0.267,0.645,0.696,0.996,0.468,0.591,0.782,"Roanoke city",0.297
"60","51510201205",0.607,"Census Tract 2012.05, Alexandria city, Virginia",0.156,0.903,0.5,0.439,0.817,0.11,0.395,0.967,0.802,0.776,0.57,0.997,0.469,0.953,0.67,"Alexandria city",0.544
"61","51595890100",0.708,"Census Tract 8901, Emporia city, Virginia",0.168,0.909,0.311,0.012,0.799,0.008,0.658,0.581,0.628,0.105,0.796,0.967,0.47,0.634,0.848,"Emporia city",0.331
"62","51550020100",0.654,"Census Tract 201, Chesapeake city, Virginia",0.352,0.894,0.406,0.12,0.645,0.082,0.711,0.22,0.582,0.671,0.753,0.825,0.471,0.641,0.875,"Chesapeake city",0.618
"63","51013101804",0.014,"Census Tract 1018.04, Arlington County, Virginia",0.178,0.898,0.604,0.726,0.839,0.356,0.563,0.896,0.622,0.763,0.512,0.994,0.473,0.964,0.758,"Arlington County",0.655
