"","CT2","FIPS","Geographic Area Name","Tpop","Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","Spatial Segregation","Income Inequality","Affordability","Environmental","Food Access","Townsend","Incarceration","Mobility","County","LifeExpectancy"
"436","51121020801",0.143,"Census Tract 208.01, Montgomery County, Virginia",0.232,0.931,0.491,0.027,0.594,0.01,0.684,0.745,0.567,0.5,0.83,0.95,0.645,0.858,0.874,"Montgomery County",0.561
"437","51059450602",0.069,"Census Tract 4506.02, Fairfax County, Virginia",0.279,0.912,0.5,0.281,0.743,0.09,0.816,0.81,0.688,0.711,0.639,0.994,0.646,0.971,0.833,"Fairfax County",0.804
"438","51013103404",0.014,"Census Tract 1034.04, Arlington County, Virginia",0.093,0.984,0.764,0.682,0.878,0.062,0.105,0.943,0.793,0.671,0.394,0.948,0.646,0.986,0.745,"Arlington County",0.818
"439","51059482204",0.069,"Census Tract 4822.04, Fairfax County, Virginia",0.126,0.994,0.736,0.354,0.694,0.161,0.542,0.935,0.676,0.645,0.67,0.963,0.647,0.99,0.734,"Fairfax County",0.831
"440","51121020402",0.143,"Census Tract 204.02, Montgomery County, Virginia",0.262,0.936,0.632,0.031,0.404,0.059,0.632,0.808,0.319,0.447,0.83,1,0.647,0.948,0.709,NA,0.605
"441","51740213200",0.881,"Census Tract 2132, Portsmouth city, Virginia",0.167,0.94,0.481,0.221,0.719,0.045,0.647,0.811,0.605,0.605,0.637,0.97,0.648,0.659,0.682,"Portsmouth city",0.341
"442","51153901015",0.181,"Census Tract 9010.15, Prince William County, Virginia",0.205,0.969,0.462,0.051,0.762,0.049,0.342,0.624,0.654,0.737,0.707,0.974,0.648,0.935,0.865,NA,0.609
"443","51685920202",0.815,"Census Tract 9202.02, Manassas Park city, Virginia",0.486,0.855,0.425,0.096,0.778,0.041,0.563,0.82,0.694,0.632,0.76,0.911,0.649,0.98,0.804,"Manassas Park city",0.632
"444","51153901418",0.181,"Census Tract 9014.18, Prince William County, Virginia",0.255,0.902,0.481,0.116,0.883,0.101,0.542,0.826,0.751,0.737,0.726,0.996,0.65,0.951,0.802,"Prince William County",0.605
"445","51730810900",0.869,"Census Tract 8109, Petersburg city, Virginia",0.185,0.94,0.377,0.035,0.578,0.023,0.579,0.491,0.603,0.645,0.691,0.955,0.65,0.703,0.897,"Petersburg city",0.402
"446","51710003700",0.845,"Census Tract 37, Norfolk city, Virginia",0.133,0.982,0.66,0.222,0.821,0.073,0.711,0.954,0.528,0.605,0.657,0.976,0.65,0.963,0.62,NA,0.585
"447","51199050208",0.236,"Census Tract 502.08, York County, Virginia",0.12,0.957,0.547,0.054,0.83,0.051,0.147,0.874,0.699,0.618,0.809,0.998,0.65,0.96,0.681,"York County",0.52
"448","51031020700",0.036,"Census Tract 207, Campbell County, Virginia",0.216,0.935,0.415,0.012,0.576,0.006,0.737,0.905,0.584,0.579,0.782,0.933,0.651,0.811,0.813,"Campbell County",0.385
"449","51059480903",0.069,"Census Tract 4809.03, Fairfax County, Virginia",0.264,0.89,0.519,0.32,0.78,0.084,0.779,0.771,0.737,0.697,0.663,0.959,0.651,0.942,0.724,NA,0.687
"450","51630000500",0.75,"Census Tract 5, Fredericksburg city, Virginia",0.586,0.952,0.528,0.079,0.799,0.026,0.779,0.783,0.675,0.697,0.758,0.97,0.651,0.865,0.753,"Fredericksburg city",0.645
"451","51195930700",0.231,"Census Tract 9307, Wise County, Virginia",0.214,0.915,0.33,0.002,0.307,0.054,0.221,0.774,0.663,0.342,0.901,0.715,0.651,0.867,0.908,"Wise County",0.361
"452","51015070602",0.017,"Census Tract 706.02, Augusta County, Virginia",0.197,0.948,0.453,0.026,0.51,0.004,0.368,0.827,0.496,0.592,0.862,0.845,0.652,0.863,0.752,"Augusta County",0.588
"453","51179010306",0.212,"Census Tract 103.06, Stafford County, Virginia",0.107,0.959,0.547,0.064,0.635,0.009,0.158,0.966,0.646,0.711,0.766,0.958,0.652,0.806,0.65,"Stafford County",0.591
"454","51680001400",0.809,"Census Tract 14, Lynchburg city, Virginia",0.397,0.973,0.358,0.049,0.333,0.051,0.658,0.935,0.72,0.697,0.753,0.996,0.653,0.997,0.658,NA,0.573
"455","51740213101",0.881,"Census Tract 2131.01, Portsmouth city, Virginia",0.315,0.964,0.406,0.058,0.735,0.047,0.8,0.492,0.769,0.618,0.614,0.628,0.653,0.763,0.831,"Portsmouth city",0.395
"456","51710000100",0.845,"Census Tract 1, Norfolk city, Virginia",0.129,0.912,0.472,0.048,0.7,0.048,0.458,0.952,0.664,0.645,0.764,0.781,0.653,0.889,0.799,"Norfolk city",0.476
"457","51135000102",0.16,"Census Tract 1.02, Nottoway County, Virginia",0.207,0.907,0.387,0.004,0.665,0.002,0.695,0.756,0.718,0.5,0.854,0.961,0.653,0.75,0.948,"Nottoway County",0.439
"458","51087200404",0.103,"Census Tract 2004.04, Henrico County, Virginia",0.172,0.916,0.462,0.223,0.773,0.039,0.553,1,0.688,0.618,0.643,0.839,0.653,0.913,0.873,"Henrico County",0.493
"459","51095080209",0.112,"Census Tract 802.09, James City County, Virginia",0.2,0.948,0.66,0.046,0.578,0.015,0.147,0.845,0.571,0.461,0.859,0.892,0.654,1,0.784,"James City County",0.929
"460","51153901900",0.181,"Census Tract 9019, Prince William County, Virginia",0.421,0.833,0.368,0.089,0.776,0.034,0.832,0.869,0.66,0.697,0.716,0.799,0.654,0.924,0.843,"Prince William County",0.584
"461","51195931700",0.231,"Census Tract 9317, Wise County, Virginia",0.112,0.955,0.387,0.002,0.425,0.001,0.395,0.797,0.455,0.434,0.883,0.736,0.654,0.853,0.883,"Wise County",0.405
"462","51059490501",0.069,"Census Tract 4905.01, Fairfax County, Virginia",0.214,0.94,0.585,0.134,0.744,0.064,0.621,0.596,0.637,0.671,0.682,0.983,0.654,0.988,0.757,"Fairfax County",0.72
"463","51089010900",0.105,"Census Tract 109, Henry County, Virginia",0.154,0.935,0.33,0.004,0.45,0.001,0.147,0.915,0.634,0.303,0.848,0.999,0.655,0.739,0.903,"Henry County",0.466
"464","51059422202",0.069,"Census Tract 4222.02, Fairfax County, Virginia",0.474,0.891,0.566,0.087,0.688,0.081,0.658,0.648,0.652,0.566,0.654,0.992,0.655,0.991,0.769,NA,0.689
"465","51013102302",0.014,"Census Tract 1023.02, Arlington County, Virginia",0.279,0.924,0.604,0.437,0.819,0.079,0.895,0.946,0.605,0.618,0.612,0.99,0.655,0.974,0.883,"Arlington County",0.709
"466","51770002301",0.917,"Census Tract 23.01, Roanoke city, Virginia",0.172,0.95,0.462,0.083,0.661,0.016,0.658,0.757,0.421,0.566,0.784,0.969,0.655,0.914,0.804,"Roanoke city",0.564
"467","51121020701",0.143,"Census Tract 207.01, Montgomery County, Virginia",0.174,0.967,0.708,0.067,0.568,0.016,0.737,0.817,0.289,0.592,0.818,0.931,0.656,0.984,0.59,"Montgomery County",0.581
"468","51710007002",0.845,"Census Tract 70.02, Norfolk city, Virginia",0.243,0.932,0.519,0.16,0.728,0.03,0.605,0.683,0.624,0.526,0.731,0.944,0.656,0.683,0.767,"Norfolk city",0.618
"469","51650010502",0.774,"Census Tract 105.02, Hampton city, Virginia",0.185,0.92,0.5,0.094,0.724,0.017,0.458,0.503,0.676,0.592,0.764,0.716,0.657,0.89,0.774,"Hampton city",0.345
"470","51590001302",0.702,"Census Tract 13.02, Danville city, Virginia",0.056,0.905,0.208,0.033,0.477,0.003,0.142,0.865,0.686,0.513,0.73,0.629,0.657,0.632,0.781,"Danville city",0.564
"471","51107610506",0.126,"Census Tract 6105.06, Loudoun County, Virginia",0.415,0.911,0.575,0.093,0.853,0.033,0.553,0.731,0.592,0.632,0.72,0.979,0.657,0.972,0.861,"Loudoun County",0.686
"472","51590000100",0.702,"Census Tract 1, Danville city, Virginia",0.339,0.91,0.415,0.021,0.543,0.024,0.747,0.607,0.658,0.447,0.747,0.97,0.657,0.809,0.866,"Danville city",0.581
"473","51540001000",0.642,"Census Tract 10, Charlottesville city, Virginia",0.232,0.989,0.774,0.157,0.689,0.044,0.868,0.873,0.471,0.592,0.737,0.975,0.657,0.865,0.832,"Charlottesville city",0.709
"474","51740211700",0.881,"Census Tract 2117, Portsmouth city, Virginia",0.184,0.911,0.406,0.099,0.654,0.03,0.632,0.572,0.782,0.645,0.7,0.466,0.658,0.525,0.917,"Portsmouth city",0.297
"475","51007930102",0.007,"Census Tract 9301.02, Amelia County, Virginia",0.302,0.925,0.406,0.005,0.697,0,0.358,0.854,0.662,0.539,0.901,0.947,0.658,0.888,0.715,"Amelia County",0.466
"476","51540000201",0.642,"Census Tract 2.01, Charlottesville city, Virginia",0.183,0.934,0.613,0.172,0.608,0.073,0.884,0.953,0.516,0.632,0.783,0.961,0.658,0.933,0.64,"Charlottesville city",0.581
"477","51059491707",0.069,"Census Tract 4917.07, Fairfax County, Virginia",0.289,0.929,0.67,0.25,0.713,0.103,0.8,0.687,0.799,0.645,0.675,0.991,0.659,0.978,0.764,"Fairfax County",0.76
"478","51155210201",0.184,"Census Tract 2102.01, Pulaski County, Virginia",0.258,0.927,0.387,0.019,0.536,0.01,0.826,0.759,0.573,0.579,0.822,0.945,0.659,0.718,0.876,"Pulaski County",0.497
"479","51810040000",0.964,"Census Tract 400, Virginia Beach city, Virginia",0.198,0.99,0.528,0.057,0.906,0.01,0.511,0.976,0.773,0.487,0.715,0.977,0.659,1,0.404,"Virginia Beach city",0.416
"480","51683910401",0.813,"Census Tract 9104.01, Manassas city, Virginia",0.451,0.843,0.321,0.105,0.743,0.136,0.963,0.922,0.683,0.697,0.729,0.999,0.66,0.896,0.847,NA,0.579
"481","51143010600",0.169,"Census Tract 106, Pittsylvania County, Virginia",0.185,0.925,0.377,0.003,0.515,0.002,0.405,0.935,0.561,0.434,0.857,0.786,0.661,0.842,0.929,"Pittsylvania County",0.47
"482","51750010101",0.893,"Census Tract 101.01, Radford city, Virginia",0.298,0.928,0.566,0.024,0.509,0.022,0.779,0.751,0.416,0.566,0.829,0.786,0.661,0.888,0.713,NA,0.573
"483","51820003200",0.976,"Census Tract 32, Waynesboro city, Virginia",0.322,0.957,0.321,0.021,0.606,0.014,0.753,0.795,0.619,0.579,0.86,0.713,0.662,0.631,0.865,"Waynesboro city",0.544
"484","51680000203",0.809,"Census Tract 2.03, Lynchburg city, Virginia",0.128,0.951,0.434,0.076,0.43,0.058,0.147,0.961,0.831,0.618,0.774,0.984,0.662,0.974,0.599,NA,0.569
"485","51003010302",0.002,"Census Tract 103.02, Albemarle County, Virginia",0.084,0.986,0.67,0.035,0.574,0.006,0.053,0.877,0.668,0.395,0.875,0.922,0.662,0.986,0.904,"Albemarle County",0.689
"486","51650011800",0.774,"Census Tract 118, Hampton city, Virginia",0.299,0.921,0.434,0.078,0.644,0.047,1,0.507,0.557,0.658,0.797,0.894,0.662,0.739,0.855,"Hampton city",0.389
"487","51059451900",0.069,"Census Tract 4519, Fairfax County, Virginia",0.293,0.905,0.575,0.264,0.722,0.088,0.753,0.781,0.592,0.645,0.623,0.999,0.663,0.98,0.798,"Fairfax County",0.791
"488","51790000200",0.94,"Census Tract 2, Staunton city, Virginia",0.24,0.919,0.387,0.025,0.654,0.03,0.816,0.842,0.613,0.632,0.891,0.984,0.663,0.657,0.814,"Staunton city",0.564
"489","51059420400",0.069,"Census Tract 4204, Fairfax County, Virginia",0.205,0.957,0.726,0.326,0.89,0.088,0.526,0.949,0.714,0.737,0.515,0.874,0.663,0.984,0.625,"Fairfax County",0.828
"490","51153901212",0.181,"Census Tract 9012.12, Prince William County, Virginia",0.525,0.944,0.406,0.076,0.676,0.063,0.779,0.725,0.66,0.618,0.764,0.818,0.663,0.95,0.922,"Prince William County",0.649
"491","51195931600",0.231,"Census Tract 9316, Wise County, Virginia",0.146,0.942,0.387,0.001,0.419,0.001,0.316,0.749,0.708,0.368,0.881,0.662,0.663,0.742,0.894,"Wise County",0.402
"492","51650011200",0.774,"Census Tract 112, Hampton city, Virginia",0.168,0.951,0.434,0.043,0.658,0.031,0.5,0.769,0.648,0.605,0.817,0.946,0.663,0.871,0.805,"Hampton city",0.382
"493","51087200409",0.103,"Census Tract 2004.09, Henrico County, Virginia",0.192,0.885,0.387,0.177,0.515,0.029,0.432,0.861,0.661,0.605,0.652,0.862,0.664,0.895,0.647,"Henrico County",0.645
"494","51510200701",0.607,"Census Tract 2007.01, Alexandria city, Virginia",0.037,0.981,0.774,0.325,0.95,0.014,0.358,0.976,0.913,0.684,0.464,0.914,0.665,1,0.577,NA,0.651
"495","51790000100",0.94,"Census Tract 1, Staunton city, Virginia",0.067,0.951,0.651,0.034,0.636,0.036,0.395,0.887,0.514,0.526,0.875,0.994,0.665,0.637,0.659,"Staunton city",0.571
"496","51710000600",0.845,"Census Tract 6, Norfolk city, Virginia",0.286,0.905,0.462,0.047,0.746,0.088,0.489,0.878,0.682,0.592,0.707,0.85,0.665,0.84,0.803,"Norfolk city",0.52
"497","51013102100",0.014,"Census Tract 1021, Arlington County, Virginia",0.159,0.989,0.632,0.394,0.569,0.045,0.516,0.907,0.481,0.658,0.644,0.809,0.666,1,0.869,"Arlington County",0.791
"498","51013101502",0.014,"Census Tract 1015.02, Arlington County, Virginia",0.194,0.948,0.821,0.703,0.814,0.11,0.721,0.86,0.604,0.553,0.535,0.992,0.666,1,0.834,"Arlington County",0.895
"499","51041100506",0.048,"Census Tract 1005.06, Chesterfield County, Virginia",0.405,0.888,0.443,0.036,0.825,0.015,0.737,0.763,0.503,0.526,0.732,0.733,0.666,0.913,0.887,"Chesterfield County",0.611
"500","51510200111",0.607,"Census Tract 2001.11, Alexandria city, Virginia",0.226,0.952,0.67,0.357,0.817,0.258,0.526,0.896,0.665,0.737,0.486,0.998,0.666,1,0.675,NA,0.666
"501","51179010211",0.212,"Census Tract 102.11, Stafford County, Virginia",0.289,0.924,0.519,0.043,0.736,0.039,0.647,0.812,0.64,0.671,0.734,0.957,0.667,0.934,0.735,"Stafford County",0.51
"502","51760060502",0.905,"Census Tract 605.02, Richmond city, Virginia",0.253,0.92,0.623,0.133,0.619,0.036,0.489,0.704,0.467,0.645,0.659,0.86,0.667,0.733,0.768,"Richmond city",0.473
"503","51710005702",0.845,"Census Tract 57.02, Norfolk city, Virginia",0.181,0.925,0.462,0.105,0.685,0.034,0.589,0.594,0.73,0.579,0.735,0.725,0.668,0.727,0.882,"Norfolk city",0.375
"504","51003010701",0.002,"Census Tract 107.01, Albemarle County, Virginia",0.181,0.905,0.585,0.146,0.674,0.057,0.305,0.966,0.564,0.658,0.756,0.908,0.668,0.86,0.751,"Albemarle County",0.514
"505","51177020206",0.21,"Census Tract 202.06, Spotsylvania County, Virginia",0.288,0.922,0.547,0.031,0.789,0.011,0.237,0.914,0.708,0.671,0.8,0.864,0.668,0.939,0.789,"Spotsylvania County",0.503
"506","51059491801",0.069,"Census Tract 4918.01, Fairfax County, Virginia",0.155,0.94,0.651,0.185,0.768,0.057,0.542,0.664,0.665,0.684,0.681,0.994,0.668,0.974,0.738,NA,0.691
"507","51630000301",0.75,"Census Tract 3.01, Fredericksburg city, Virginia",0.153,0.968,0.566,0.098,0.377,0.109,0.221,0.909,0.624,0.908,0.703,0.974,0.668,1,0.52,NA,0.577
"508","51740212600",0.881,"Census Tract 2126, Portsmouth city, Virginia",0.097,0.952,0.519,0.086,0.69,0.038,0.747,0.717,0.651,0.605,0.737,0.599,0.668,0.794,0.894,"Portsmouth city",0.399
"509","51590000900",0.702,"Census Tract 9, Danville city, Virginia",0.213,0.896,0.472,0.015,0.632,0.009,0.516,0.852,0.607,0.434,0.736,0.943,0.668,0.706,0.913,"Danville city",0.476
"510","51550020809",0.654,"Census Tract 208.09, Chesapeake city, Virginia",0.33,0.954,0.415,0.146,0.64,0.022,0.805,0.728,0.685,0.553,0.753,0.971,0.669,0.748,0.86,"Chesapeake city",0.709
"511","51760011100",0.905,"Census Tract 111, Richmond city, Virginia",0.216,0.911,0.528,0.294,0.656,0.033,0.963,0.616,0.564,0.632,0.478,0.961,0.669,0.787,0.716,"Richmond city",0.53
"512","51087201205",0.103,"Census Tract 2012.05, Henrico County, Virginia",0.219,0.915,0.443,0.068,0.661,0.021,0.642,0.538,0.817,0.632,0.54,0.773,0.67,0.801,0.794,"Henrico County",0.439
"513","51650011002",0.774,"Census Tract 110.02, Hampton city, Virginia",0.2,0.918,0.443,0.043,0.685,0.042,0.316,0.731,0.598,0.632,0.803,0.945,0.67,0.716,0.96,"Hampton city",0.361
"514","51740210900",0.881,"Census Tract 2109, Portsmouth city, Virginia",0.2,0.972,0.557,0.225,0.619,0.062,0.695,0.811,0.575,0.645,0.555,0.992,0.67,0.861,0.714,"Portsmouth city",0.486
"515","51650010602",0.774,"Census Tract 106.02, Hampton city, Virginia",0.132,0.953,0.396,0.087,0.568,0.033,0.579,0.613,0.507,0.684,0.76,0.999,0.671,0.675,0.896,"Hampton city",0.375
"516","51193010401",0.229,"Census Tract 104.01, Westmoreland County, Virginia",0.157,0.951,0.425,0.01,0.601,0.001,0.332,0.916,0.567,0.382,0.861,0.941,0.671,0.804,0.829,"Westmoreland County",0.483
"517","51165010801",0.195,"Census Tract 108.01, Rockingham County, Virginia",0.244,0.941,0.377,0.007,0.722,0.004,0.2,0.735,0.696,0.526,0.883,0.755,0.671,0.88,0.866,"Rockingham County",0.564
"518","51650010315",0.774,"Census Tract 103.15, Hampton city, Virginia",0.22,0.96,0.443,0.098,0.735,0.038,0.8,0.617,0.56,0.684,0.745,0.858,0.671,0.903,0.711,"Hampton city",0.416
"519","51003010603",0.002,"Census Tract 106.03, Albemarle County, Virginia",0.134,0.989,0.613,0.143,0.472,0.035,0.421,0.969,0.76,0.671,0.747,0.977,0.671,0.966,0.597,"Albemarle County",0.615
"520","51710006602",0.845,"Census Tract 66.02, Norfolk city, Virginia",0.166,0.945,0.462,0.067,0.569,0.042,0.5,0.974,0.497,0.526,0.762,0.947,0.671,0.893,0.863,"Norfolk city",0.568
"521","51840000101",1,"Census Tract 1.01, Winchester city, Virginia",0.256,0.888,0.349,0.073,0.731,0.053,0.695,0.859,0.715,0.605,0.694,0.999,0.671,0.877,0.847,"Winchester city",0.439
"522","51810041002",0.964,"Census Tract 410.02, Virginia Beach city, Virginia",0.156,0.907,0.33,0.176,0.673,0.031,0.789,0.917,0.711,0.579,0.707,0.777,0.672,0.772,0.93,"Virginia Beach city",0.453
"523","51590001200",0.702,"Census Tract 12, Danville city, Virginia",0.12,0.91,0.434,0.021,0.595,0.003,0.158,0.856,0.497,0.395,0.765,0.741,0.672,0.75,0.888,"Danville city",0.409
"524","51079030102",0.093,"Census Tract 301.02, Greene County, Virginia",0.314,0.904,0.434,0.005,0.595,0.002,0.563,0.73,0.591,0.566,0.895,0.656,0.672,0.908,0.913,"Greene County",0.784
"525","51510200600",0.607,"Census Tract 2006, Alexandria city, Virginia",0.326,0.912,0.623,0.285,0.786,0.205,0.974,0.849,0.676,0.645,0.593,0.928,0.672,0.953,0.896,"Alexandria city",0.639
"526","51820003300",0.976,"Census Tract 33, Waynesboro city, Virginia",0.304,0.976,0.34,0.028,0.607,0.027,0.774,0.879,0.419,0.618,0.861,0.994,0.672,0.772,0.778,"Waynesboro city",0.588
"527","51087200411",0.103,"Census Tract 2004.11, Henrico County, Virginia",0.313,0.913,0.528,0.143,0.829,0.056,0.8,0.841,0.748,0.645,0.722,0.946,0.672,0.872,0.751,"Henrico County",0.557
"528","51683910201",0.813,"Census Tract 9102.01, Manassas city, Virginia",0.309,0.898,0.491,0.127,0.682,0.047,0.989,0.954,0.677,0.632,0.723,0.969,0.673,0.912,0.797,"Manassas city",0.554
"529","51195931200",0.231,"Census Tract 9312, Wise County, Virginia",0.432,0.963,0.377,0.006,0.403,0.009,0.805,0.734,0.553,0.461,0.872,0.791,0.673,0.786,0.82,"Wise County",0.341
"530","51013102702",0.014,"Census Tract 1027.02, Arlington County, Virginia",0.127,0.927,0.585,0.398,0.816,0.164,0.432,0.932,0.816,0.671,0.587,0.735,0.673,0.979,0.823,NA,0.692
"531","51059481000",0.069,"Census Tract 4810, Fairfax County, Virginia",0.442,0.873,0.453,0.288,0.855,0.116,0.553,0.674,0.796,0.671,0.684,0.999,0.673,0.948,0.785,"Fairfax County",0.74
"532","51171040700",0.203,"Census Tract 407, Shenandoah County, Virginia",0.286,0.923,0.387,0.006,0.574,0.001,0.563,0.718,0.592,0.461,0.9,0.838,0.673,0.876,0.91,"Shenandoah County",0.544
"533","51650010306",0.774,"Census Tract 103.06, Hampton city, Virginia",0.368,0.897,0.453,0.072,0.641,0.026,0.911,0.594,0.669,0.526,0.777,0.805,0.673,0.854,0.758,"Hampton city",0.524
"534","51093280107",0.11,"Census Tract 2801.07, Isle of Wight County, Virginia",0.293,0.896,0.509,0.017,0.669,0.003,0.358,0.919,0.682,0.382,0.868,0.856,0.673,0.947,0.859,"Isle of Wight County",0.601
"535","51720960100",0.857,"Census Tract 9601, Norton city, Virginia",0.249,0.932,0.434,0.01,0.514,0.012,0.8,0.696,0.482,0.5,0.863,0.819,0.674,0.746,0.818,"Norton city",0.493
"536","51059420502",0.069,"Census Tract 4205.02, Fairfax County, Virginia",0.168,0.967,0.66,0.303,0.74,0.184,0.568,0.973,0.727,0.724,0.663,0.935,0.674,0.984,0.832,"Fairfax County",0.804
"537","51650010601",0.774,"Census Tract 106.01, Hampton city, Virginia",0.106,0.955,0.33,0.092,0.549,0.022,0.616,0.668,0.564,0.684,0.762,0.731,0.674,0.595,0.756,"Hampton city",0.375
"538","51105950400",0.124,"Census Tract 9504, Lee County, Virginia",0.165,0.935,0.377,0.001,0.441,0,0.147,0.74,0.643,0.421,0.847,0.922,0.675,0.856,0.959,"Lee County",0.449
"539","51033030300",0.038,"Census Tract 303, Caroline County, Virginia",0.215,0.942,0.434,0.01,0.598,0.002,0.568,0.924,0.627,0.566,0.815,0.928,0.676,0.87,0.829,"Caroline County",0.476
"540","51109950202",0.129,"Census Tract 9502.02, Louisa County, Virginia",0.283,0.928,0.443,0.007,0.62,0.001,0.174,0.864,0.599,0.474,0.889,0.766,0.676,0.856,0.899,"Louisa County",0.625
"541","51059421102",0.069,"Census Tract 4211.02, Fairfax County, Virginia",0.233,0.948,0.632,0.171,0.652,0.051,0.563,0.859,0.542,0.632,0.711,0.947,0.676,0.977,0.845,"Fairfax County",0.743
"542","51087201104",0.103,"Census Tract 2011.04, Henrico County, Virginia",0.205,0.936,0.406,0.122,0.487,0.014,0.484,0.363,0.623,0.618,0.584,0.986,0.676,0.715,0.888,"Henrico County",0.503
"543","51650010311",0.774,"Census Tract 103.11, Hampton city, Virginia",0.274,0.912,0.528,0.093,0.73,0.031,0.711,0.52,0.673,0.605,0.778,0.863,0.676,0.875,0.864,"Hampton city",0.524
"544","51710006606",0.845,"Census Tract 66.06, Norfolk city, Virginia",0.217,0.965,0.491,0.087,0.631,0.042,0.921,0.807,0.597,0.605,0.748,0.924,0.676,0.89,0.829,"Norfolk city",0.598
"545","51173030702",0.205,"Census Tract 307.02, Smyth County, Virginia",0.279,0.929,0.387,0.001,0.5,0.001,0.316,0.673,0.706,0.289,0.939,0.989,0.677,0.851,0.803,"Smyth County",0.608
"546","51800075401",0.952,"Census Tract 754.01, Suffolk city, Virginia",0.126,0.948,0.528,0.036,0.651,0.006,0.568,0.907,0.69,0.539,0.832,0.962,0.677,0.914,0.893,"Suffolk city",0.591
"547","51143010200",0.169,"Census Tract 102, Pittsylvania County, Virginia",0.263,0.925,0.387,0.003,0.566,0.001,0.484,0.907,0.599,0.408,0.85,0.61,0.677,0.84,0.891,"Pittsylvania County",0.53
"548","51700032400",0.833,"Census Tract 324, Newport News city, Virginia",0.214,0.95,0.472,0.026,0.647,0.007,0.463,0.824,0.72,0.553,0.776,0.573,0.677,0.909,0.916,"Newport News city",0.557
"549","51059471204",0.069,"Census Tract 4712.04, Fairfax County, Virginia",0.199,0.927,0.764,0.497,0.822,0.085,0.542,0.792,0.722,0.724,0.589,0.983,0.678,0.993,0.578,"Fairfax County",0.845
"550","51081880200",0.095,"Census Tract 8802, Greensville County, Virginia",0.258,0.911,0.34,0.002,0.603,0,0.358,0.618,0.558,0.447,0.883,0.997,0.678,0.804,0.829,"Greensville County",0.399
"551","51019050102",0.021,"Census Tract 501.02, Bedford County, Virginia",0.188,0.942,0.491,0.002,0.543,0.008,0,0.881,0.736,0.5,0.77,0.896,0.678,0.923,0.716,"Bedford County",0.554
"552","51169030200",0.2,"Census Tract 302, Scott County, Virginia",0.282,0.909,0.321,0.003,0.35,0,0.447,0.675,0.582,0.566,0.84,0.927,0.678,0.85,0.894,"Scott County",0.659
"553","51153900804",0.181,"Census Tract 9008.04, Prince William County, Virginia",0.322,0.915,0.575,0.042,0.785,0.041,0.384,0.498,0.661,0.592,0.776,0.99,0.678,0.97,0.772,"Prince William County",0.639
"554","51550020002",0.654,"Census Tract 200.02, Chesapeake city, Virginia",0.301,0.904,0.434,0.121,0.73,0.053,0.516,0.572,0.728,0.592,0.75,0.625,0.679,0.729,0.877,"Chesapeake city",0.419
"555","51510200705",0.607,"Census Tract 2007.05, Alexandria city, Virginia",0.143,0.977,0.764,0.371,0.712,0.144,0.263,0.931,0.71,0.645,0.632,0.996,0.679,1,0.71,"Alexandria city",0.828
"556","51175200500",0.207,"Census Tract 2005, Southampton County, Virginia",0.233,0.927,0.472,0.001,0.645,0,0.132,0.768,0.662,0.566,0.922,0.878,0.679,0.804,0.915,"Southampton County",0.595
"557","51067020200",0.079,"Census Tract 202, Franklin County, Virginia",0.343,0.911,0.425,0.006,0.695,0.001,0.432,0.766,0.587,0.474,0.858,0.586,0.679,0.826,0.802,"Franklin County",0.527
"558","51149850100",0.176,"Census Tract 8501, Prince George County, Virginia",0.276,0.925,0.34,0.038,0.039,0.02,0.289,0.7,0.588,0.645,0.732,0.962,0.68,0.964,0.669,"Prince George County",0.49
"559","51740211900",0.881,"Census Tract 2119, Portsmouth city, Virginia",0.087,0.9,0.396,0.111,0.495,0.036,0.542,0.688,0.618,0.737,0.684,0.6,0.68,0.494,0.687,"Portsmouth city",0.216
"560","51810040801",0.964,"Census Tract 408.01, Virginia Beach city, Virginia",0.23,0.919,0.415,0.112,0.66,0.046,0.937,0.967,0.602,0.579,0.765,0.859,0.68,0.921,0.916,"Virginia Beach city",0.473
"561","51770002800",0.917,"Census Tract 28, Roanoke city, Virginia",0.335,0.968,0.377,0.07,0.582,0.011,0.853,0.749,0.411,0.579,0.772,0.922,0.68,0.824,0.882,"Roanoke city",0.591
"562","51187020602",0.222,"Census Tract 206.02, Warren County, Virginia",0.156,0.94,0.443,0.009,0.668,0.002,0.405,0.8,0.721,0.724,0.889,0.753,0.68,0.925,0.863,"Warren County",0.699
"563","51700031602",0.833,"Census Tract 316.02, Newport News city, Virginia",0.317,0.917,0.462,0.103,0.626,0.031,0.884,0.755,0.738,0.579,0.797,0.992,0.681,0.899,0.918,"Newport News city",0.507
"564","51059422101",0.069,"Census Tract 4221.01, Fairfax County, Virginia",0.48,0.864,0.575,0.104,0.824,0.077,0.842,0.598,0.726,0.645,0.655,0.983,0.682,0.982,0.883,NA,0.696
"565","51025930203",0.029,"Census Tract 9302.03, Brunswick County, Virginia",0.279,0.94,0.349,0.002,0.644,0.003,0.605,0.547,0.579,0.447,0.877,0.709,0.682,0.726,0.893,"Brunswick County",0.503
"566","51770002302",0.917,"Census Tract 23.02, Roanoke city, Virginia",0.234,0.906,0.377,0.065,0.58,0.02,0.695,0.716,0.669,0.539,0.786,0.969,0.682,0.847,0.858,"Roanoke city",0.534
"567","51031020401",0.036,"Census Tract 204.01, Campbell County, Virginia",0.295,0.9,0.491,0.029,0.616,0.009,0.684,0.897,0.646,0.592,0.8,0.913,0.682,0.912,0.906,"Campbell County",0.48
